idx	alpha	lambda	nzero	cvm	cvsd	fit_r2
1	0.001	39.2859947804644	4627	0.946753795315246	0.0153760394922771	0.677151778038397
2	0.006859	9.55430660413054	910	0.953440601921832	0.014695317561597	0.650585221954213
3	0.021952	3.12743219758633	467	0.960200689499587	0.0155020814038835	0.665912416280505
4	0.050653	2.26088799105535	218	0.964199835523092	0.0131902993143935	0.62877786128735
5	0.097336	1.23257326765351	161	0.967914719508573	0.0131695518257295	0.628972978701608
6	0.166375	0.688329132447343	133	0.971084479876963	0.0136618140186256	0.631945568936614
7	0.262144	0.43686202778216	119	0.973224707437364	0.0139279737043949	0.632555833731645
8	0.389017	0.294384973949536	110	0.97489816107709	0.0140265253260783	0.632878452928753
9	0.551368	0.207702948685681	106	0.976125867369834	0.0141007724797426	0.632986893873226
10	0.753571	0.151970762424412	104	0.977097933018659	0.0141823401726659	0.633072993644587
11	1	0.114520759410927	102	0.977840971379649	0.0142511480837813	0.633098639329566
