disease	predictor	samples	test	case	control	OddsRatio	low	high	p.value	cohort
Type 2 diabetes	GenMetS	matched	case-control	677	677	1.61	1.422	1.83	1.37e-13	UKB ASN women
Type 2 diabetes	PGS000828_WC#	matched	case-control	677	677	1.124	1.009	1.253	0.0343	UKB ASN women
Type 2 diabetes	PGS001227_WC#	matched	case-control	677	677	1.16	1.041	1.293	0.00748	UKB ASN women
Type 2 diabetes	PGS000661_LDL	matched	case-control	677	677	0.868	0.776	0.969	0.0123	UKB ASN women
Type 2 diabetes	PGS000891_LDL	matched	case-control	677	677	0.968	0.866	1.081	0.562	UKB ASN women
Type 2 diabetes	PGS000660_HDL	matched	case-control	677	677	1.139	1.019	1.274	0.022	UKB ASN women
Type 2 diabetes	PGS000686_HDL#	matched	case-control	677	677	0.945	0.847	1.053	0.306	UKB ASN women
Type 2 diabetes	PGS000659_TG	matched	case-control	677	677	0.94	0.841	1.05	0.271	UKB ASN women
Type 2 diabetes	PGS000699_TG#	matched	case-control	677	677	0.938	0.843	1.044	0.242	UKB ASN women
Type 2 diabetes	PGS000306_GLU#	matched	case-control	677	677	1.107	0.991	1.237	0.0722	UKB ASN women
Type 2 diabetes	PGS000684_GLU#	matched	case-control	677	677	1.01	0.906	1.125	0.862	UKB ASN women
Type 2 diabetes	PGS000685_HbA1c#	matched	case-control	677	677	1.168	1.048	1.303	0.00528	UKB ASN women
Type 2 diabetes	PGS001133_DBP#	matched	case-control	677	677	1.017	0.912	1.133	0.766	UKB ASN women
Type 2 diabetes	PGS000302_DBP#	matched	case-control	677	677	1.045	0.938	1.165	0.425	UKB ASN women
Type 2 diabetes	PGS000301_SBP#	matched	case-control	677	677	1.254	1.123	1.402	6.39e-05	UKB ASN women
Type 2 diabetes	PGS001134_SBP#	matched	case-control	677	677	1.14	1.023	1.271	0.0177	UKB ASN women
Hypertension	GenMetS	matched	case-control	1369	1369	1.398	1.293	1.514	8.28e-17	UKB ASN women
Hypertension	PGS000828_WC#	matched	case-control	1369	1369	1.051	0.974	1.134	0.201	UKB ASN women
Hypertension	PGS001227_WC#	matched	case-control	1369	1369	1.09	1.012	1.175	0.0235	UKB ASN women
Hypertension	PGS000661_LDL	matched	case-control	1369	1369	0.938	0.87	1.011	0.0928	UKB ASN women
Hypertension	PGS000891_LDL	matched	case-control	1369	1369	0.994	0.922	1.072	0.873	UKB ASN women
Hypertension	PGS000660_HDL	matched	case-control	1369	1369	1.104	1.022	1.192	0.0118	UKB ASN women
Hypertension	PGS000686_HDL#	matched	case-control	1369	1369	0.995	0.922	1.073	0.894	UKB ASN women
Hypertension	PGS000659_TG	matched	case-control	1369	1369	1.065	0.986	1.15	0.109	UKB ASN women
Hypertension	PGS000699_TG#	matched	case-control	1369	1369	0.955	0.885	1.029	0.227	UKB ASN women
Hypertension	PGS000306_GLU#	matched	case-control	1369	1369	1.047	0.97	1.129	0.238	UKB ASN women
Hypertension	PGS000684_GLU#	matched	case-control	1369	1369	0.94	0.872	1.013	0.105	UKB ASN women
Hypertension	PGS000685_HbA1c#	matched	case-control	1369	1369	0.975	0.905	1.051	0.515	UKB ASN women
Hypertension	PGS001133_DBP#	matched	case-control	1369	1369	1.205	1.117	1.3	1.34e-06	UKB ASN women
Hypertension	PGS000302_DBP#	matched	case-control	1369	1369	1.186	1.099	1.28	1.06e-05	UKB ASN women
Hypertension	PGS000301_SBP#	matched	case-control	1369	1369	1.383	1.28	1.496	3.25e-16	UKB ASN women
Hypertension	PGS001134_SBP#	matched	case-control	1369	1369	1.349	1.249	1.458	2.91e-14	UKB ASN women
Heart failure	GenMetS	matched	case-control	114	114	1.522	1.12	2.112	0.00894	UKB ASN women
Heart failure	PGS000828_WC#	matched	case-control	114	114	1.339	1.023	1.768	0.0359	UKB ASN women
Heart failure	PGS001227_WC#	matched	case-control	114	114	1.179	0.918	1.524	0.2	UKB ASN women
Heart failure	PGS000661_LDL	matched	case-control	114	114	0.96	0.727	1.265	0.77	UKB ASN women
Heart failure	PGS000891_LDL	matched	case-control	114	114	1.008	0.772	1.318	0.952	UKB ASN women
Heart failure	PGS000660_HDL	matched	case-control	114	114	1.083	0.834	1.41	0.55	UKB ASN women
Heart failure	PGS000686_HDL#	matched	case-control	114	114	0.891	0.691	1.143	0.364	UKB ASN women
Heart failure	PGS000659_TG	matched	case-control	114	114	1.055	0.826	1.35	0.669	UKB ASN women
Heart failure	PGS000699_TG#	matched	case-control	114	114	1.138	0.884	1.47	0.319	UKB ASN women
Heart failure	PGS000306_GLU#	matched	case-control	114	114	1.061	0.808	1.396	0.669	UKB ASN women
Heart failure	PGS000684_GLU#	matched	case-control	114	114	0.834	0.641	1.08	0.173	UKB ASN women
Heart failure	PGS000685_HbA1c#	matched	case-control	114	114	1.18	0.911	1.539	0.213	UKB ASN women
Heart failure	PGS001133_DBP#	matched	case-control	114	114	1.035	0.803	1.336	0.791	UKB ASN women
Heart failure	PGS000302_DBP#	matched	case-control	114	114	1.129	0.851	1.503	0.402	UKB ASN women
Heart failure	PGS000301_SBP#	matched	case-control	114	114	1.406	1.063	1.881	0.0187	UKB ASN women
Heart failure	PGS001134_SBP#	matched	case-control	114	114	1.452	1.122	1.903	0.0055	UKB ASN women
Coronary artery disease	GenMetS	matched	case-control	449	449	1.638	1.396	1.935	2.77e-09	UKB ASN women
Coronary artery disease	PGS000828_WC#	matched	case-control	449	449	1.059	0.928	1.21	0.394	UKB ASN women
Coronary artery disease	PGS001227_WC#	matched	case-control	449	449	1.055	0.927	1.202	0.416	UKB ASN women
Coronary artery disease	PGS000661_LDL	matched	case-control	449	449	1.042	0.912	1.191	0.543	UKB ASN women
Coronary artery disease	PGS000891_LDL	matched	case-control	449	449	1.077	0.942	1.232	0.277	UKB ASN women
Coronary artery disease	PGS000660_HDL	matched	case-control	449	449	1.145	0.998	1.316	0.0542	UKB ASN women
Coronary artery disease	PGS000686_HDL#	matched	case-control	449	449	1.007	0.883	1.149	0.916	UKB ASN women
Coronary artery disease	PGS000659_TG	matched	case-control	449	449	1.049	0.92	1.197	0.473	UKB ASN women
Coronary artery disease	PGS000699_TG#	matched	case-control	449	449	1.058	0.926	1.209	0.407	UKB ASN women
Coronary artery disease	PGS000306_GLU#	matched	case-control	449	449	1.15	1.005	1.317	0.0422	UKB ASN women
Coronary artery disease	PGS000684_GLU#	matched	case-control	449	449	0.883	0.773	1.007	0.0644	UKB ASN women
Coronary artery disease	PGS000685_HbA1c#	matched	case-control	449	449	0.996	0.875	1.134	0.954	UKB ASN women
Coronary artery disease	PGS001133_DBP#	matched	case-control	449	449	1.148	1.009	1.308	0.0368	UKB ASN women
Coronary artery disease	PGS000302_DBP#	matched	case-control	449	449	1.142	1.001	1.304	0.0498	UKB ASN women
Coronary artery disease	PGS000301_SBP#	matched	case-control	449	449	1.297	1.138	1.482	0.000108	UKB ASN women
Coronary artery disease	PGS001134_SBP#	matched	case-control	449	449	1.279	1.123	1.461	0.000236	UKB ASN women
Stroke	GenMetS	matched	case-control	114	114	1.123	0.852	1.486	0.412	UKB ASN women
Stroke	PGS000828_WC#	matched	case-control	114	114	1.243	0.946	1.646	0.121	UKB ASN women
Stroke	PGS001227_WC#	matched	case-control	114	114	1.103	0.835	1.461	0.491	UKB ASN women
Stroke	PGS000661_LDL	matched	case-control	114	114	1.105	0.832	1.472	0.492	UKB ASN women
Stroke	PGS000891_LDL	matched	case-control	114	114	1.168	0.889	1.543	0.266	UKB ASN women
Stroke	PGS000660_HDL	matched	case-control	114	114	1.1	0.849	1.432	0.472	UKB ASN women
Stroke	PGS000686_HDL#	matched	case-control	114	114	0.878	0.674	1.138	0.327	UKB ASN women
Stroke	PGS000659_TG	matched	case-control	114	114	0.984	0.745	1.299	0.91	UKB ASN women
Stroke	PGS000699_TG#	matched	case-control	114	114	1.103	0.838	1.457	0.484	UKB ASN women
Stroke	PGS000306_GLU#	matched	case-control	114	114	1.046	0.791	1.385	0.754	UKB ASN women
Stroke	PGS000684_GLU#	matched	case-control	114	114	1	0.783	1.279	0.997	UKB ASN women
