target	name	N	sex	predictor	R2	95%CI	low	high	p.value	cohort
MetS	ObsMetS	356703	all	GenMetS	2.22e-05	(1.74e-06,6.51e-05)	1.74e-06	6.51e-05	 4.93e-03	UKBB European
MetS	ObsMetS	165227	men	GenMetS	7.56e-06	(1.93e-08,5.27e-05)	1.93e-08	5.27e-05	 2.64e-01	UKBB European
MetS	ObsMetS	191476	women	GenMetS	3.95e-05	(3.65e-06,0.00012)	3.65e-06	0.00012	 5.94e-03	UKBB European
HDL	HDL	356703	all	GenMetS	3.76e-05	(8.84e-06,9.06e-05)	8.84e-06	9.06e-05	 2.50e-04	UKBB European
HDL	HDL	165227	men	GenMetS	1.86e-05	(1.2e-07,8.31e-05)	1.2e-07	8.31e-05	 8.00e-02	UKBB European
HDL	HDL	191476	women	GenMetS	6.97e-05	(1.54e-05,0.000164)	1.54e-05	0.000164	 2.59e-04	UKBB European
TG	TG	356703	all	GenMetS	1.71e-05	(7.29e-07,5.6e-05)	7.29e-07	5.6e-05	 1.36e-02	UKBB European
TG	TG	165227	men	GenMetS	1.03e-05	(2.57e-08,6.53e-05)	2.57e-08	6.53e-05	 1.91e-01	UKBB European
TG	TG	191476	women	GenMetS	2.91e-05	(8.18e-07,9.95e-05)	8.18e-07	9.95e-05	 1.84e-02	UKBB European
BMI	BMI	356096	all	GenMetS	3.22e-05	(5.66e-06,8.37e-05)	5.66e-06	8.37e-05	 7.15e-04	UKBB European
BMI	BMI	164899	men	GenMetS	5.57e-05	(5.96e-06,0.000161)	5.96e-06	0.000161	 2.45e-03	UKBB European
BMI	BMI	191197	women	GenMetS	1.98e-05	(1.97e-07,8.69e-05)	1.97e-07	8.69e-05	 5.18e-02	UKBB European
WC	WC	356703	all	GenMetS	1.31e-05	(3.26e-07,4.77e-05)	3.26e-07	4.77e-05	 3.09e-02	UKBB European
WC	WC	165227	men	GenMetS	1.97e-05	(1.17e-07,9.08e-05)	1.17e-07	9.08e-05	 7.12e-02	UKBB European
WC	WC	191476	women	GenMetS	1.31e-05	(6.22e-08,6.77e-05)	6.22e-08	6.77e-05	 1.13e-01	UKBB European
SBP	SBP	356703	all	GenMetS	2.29e-06	(7.04e-09,2.16e-05)	7.04e-09	2.16e-05	 3.66e-01	UKBB European
SBP	SBP	165227	men	GenMetS	4.3e-06	(1.5e-08,4.92e-05)	1.5e-08	4.92e-05	 4.00e-01	UKBB European
SBP	SBP	191476	women	GenMetS	1.33e-06	(1.06e-08,3.25e-05)	1.06e-08	3.25e-05	 6.14e-01	UKBB European
