target	name	N	sex	predictor	R2	X95.CI	low	high	p.value	cohort
BMI	BMI	811	female	GenMetS	0.1246	(0.0789,0.1703)	0.0789	0.1703	3.255e-25	ATTRaCT
BMI	BMI	1465	male	GenMetS	0.0103	(1.876e-05,0.0205)	1.876e-05	0.0205	0.0001014	ATTRaCT
SBP	SBP	814	female	GenMetS	0.0062	(-6.121e-03,0.0186)	-0.006121	0.0186	0.02413	ATTRaCT
SBP	SBP	1475	male	GenMetS	0.0037	(-2.765e-03,0.0101)	-0.002765	0.0101	0.02017	ATTRaCT
DBP	DBP	814	female	GenMetS	0.0032	(-5.551e-03,0.0119)	-0.005551	0.0119	0.1088	ATTRaCT
DBP	DBP	1475	male	GenMetS	1.176e-06	(-2.033e-03,0.002)	-0.002033	0.002	0.9668	ATTRaCT
FastingGlucose	FastingGlu	414	female	GenMetS	0.0353	(-6.259e-03,0.0768)	-0.006259	0.0768	0.0001209	ATTRaCT
FastingGlucose	FastingGlu	803	male	GenMetS	0.049	(0.0137,0.0843)	0.0137	0.0843	2.308e-10	ATTRaCT
CHOLESTROL	CHOLESTROL	433	female	GenMetS	7e-04	(-4.449e-03,0.0059)	-0.004449	0.0059	0.5744	ATTRaCT
CHOLESTROL	CHOLESTROL	857	male	GenMetS	5e-04	(-4.402e-03,0.0055)	-0.004402	0.0055	0.5002	ATTRaCT
LDL	LDL	478	female	GenMetS	0.0097	(-8.741e-03,0.0282)	-0.008741	0.0282	0.03121	ATTRaCT
LDL	LDL	435	male	GenMetS	9.548e-06	(-9.485e-03,0.0095)	-0.009485	0.0095	0.9488	ATTRaCT
HDL	HDL	478	female	GenMetS	0.0507	(0.0109,0.0904)	0.0109	0.0904	6.612e-07	ATTRaCT
HDL	HDL	437	male	GenMetS	0.0225	(-2.547e-02,0.0706)	-0.02547	0.0706	0.001647	ATTRaCT
TG	TG	477	female	GenMetS	0.0118	(-9.396e-03,0.033)	-0.009396	0.033	0.01757	ATTRaCT
TG	TG	435	male	GenMetS	0.028	(-8.65e-03,0.0646)	-0.00865	0.0646	0.000462	ATTRaCT
Abdominal Circumference	Abdominal Circumference	378	girl	GenMetS	0.0582	(0.005,0.1114)	0.005	0.1114	2.084e-06	GUSTOchildren
Abdominal Circumference	Abdominal Circumference	404	boy	GenMetS	0.023	(-8.81e-03,0.0548)	-0.00881	0.0548	0.002229	GUSTOchildren
Fatty Liver Index	Fatty Liver Index	147	girl	GenMetS	0.0794	(-1.787e-02,0.1767)	-0.01787	0.1767	0.0005438	GUSTOchildren
Fatty Liver Index	Fatty Liver Index	153	boy	GenMetS	0.019	(-3.631e-02,0.0743)	-0.03631	0.0743	0.08939	GUSTOchildren
TG	TG(mmol/L)	192	girl	GenMetS	0.0252	(-2.167e-02,0.0721)	-0.02167	0.0721	0.02788	GUSTOchildren
TG	TG(mmol/L)	183	boy	GenMetS	1e-04	(-1.385e-02,0.0141)	-0.01385	0.0141	0.8928	GUSTOchildren
HDL	HDL(mmol/L)	191	girl	GenMetS	0.0615	(0.0019,0.1212)	0.0019	0.1212	0.0005395	GUSTOchildren
HDL	HDL(mmol/L)	183	boy	GenMetS	0.0137	(-1.962e-02,0.0469)	-0.01962	0.0469	0.1152	GUSTOchildren
LDL	LDL(mmol/L)	191	girl	GenMetS	7e-04	(-1.132e-02,0.0128)	-0.01132	0.0128	0.7133	GUSTOchildren
LDL	LDL(mmol/L)	183	boy	GenMetS	1e-04	(-1.428e-02,0.0146)	-0.01428	0.0146	0.8744	GUSTOchildren
Insulin	Insulin(mU/L)	193	girl	GenMetS	0.0367	(-2.202e-02,0.0954)	-0.02202	0.0954	0.007602	GUSTOchildren
Insulin	Insulin(mU/L)	183	boy	GenMetS	0.0343	(-1.094e-02,0.0796)	-0.01094	0.0796	0.01205	GUSTOchildren
HOMA_IR	HOMA_IR	193	girl	GenMetS	0.0304	(-2.319e-02,0.084)	-0.02319	0.084	0.01533	GUSTOchildren
HOMA_IR	HOMA_IR	182	boy	GenMetS	0.0304	(-1.574e-02,0.0765)	-0.01574	0.0765	0.01857	GUSTOchildren
