disease	predictor	samples	test	case	control	OddsRatio	low	high	p-value	cohort
T2DM	PRS_GenMetS	matched	case-control	192	192	1.976	1.581	2.515	8e-09	ATTRaCT women
T2DM	PRS_PGS000828_WC1	matched	case-control	192	192	1.15	0.944	1.403	1.66e-01	ATTRaCT women
T2DM	PRS_PGS001227_WC2	matched	case-control	192	192	1.381	1.118	1.716	3.07e-03	ATTRaCT women
T2DM	PRS_PGS000661_LDL1	matched	case-control	192	192	0.95	0.78	1.156	6.1e-01	ATTRaCT women
T2DM	PRS_PGS000891_LDL2	matched	case-control	192	192	0.988	0.814	1.197	8.98e-01	ATTRaCT women
T2DM	PRS_PGS000660_HDL1	matched	case-control	192	192	1.35	1.103	1.662	3.99e-03	ATTRaCT women
T2DM	PRS_PGS000686_HDL2	matched	case-control	192	192	0.966	0.791	1.179	7.31e-01	ATTRaCT women
T2DM	PRS_PGS000659_TG1	matched	case-control	192	192	0.878	0.718	1.07	2e-01	ATTRaCT women
T2DM	PRS_PGS000699_TG2	matched	case-control	192	192	0.975	0.801	1.187	8.02e-01	ATTRaCT women
T2DM	PRS_PGS000306_GLU1	matched	case-control	192	192	1.193	0.976	1.464	8.67e-02	ATTRaCT women
T2DM	PRS_PGS000684_GLU2	matched	case-control	192	192	1.24	1.005	1.536	4.68e-02	ATTRaCT women
T2DM	PRS_PGS000685_HbA1c	matched	case-control	192	192	1.202	0.981	1.478	7.73e-02	ATTRaCT women
T2DM	PRS_PGS001133_DBP1	matched	case-control	192	192	0.897	0.73	1.099	2.96e-01	ATTRaCT women
T2DM	PRS_PGS000302_DBP2	matched	case-control	192	192	0.852	0.692	1.046	1.28e-01	ATTRaCT women
T2DM	PRS_PGS000301_SBP1	matched	case-control	192	192	1.128	0.925	1.38	2.36e-01	ATTRaCT women
T2DM	PRS_PGS001134_SBP2	matched	case-control	192	192	1.19	0.974	1.458	9.02e-02	ATTRaCT women
T2DM	PRS_Lind2019	matched	case-control	192	192	0.958	0.787	1.165	6.66e-01	ATTRaCT women
T2DM	PRS_Walree2022	matched	case-control	192	192	1.385	1.135	1.702	1.59e-03	ATTRaCT women
STROKE	PRS_GenMetS	matched	case-control	32	32	1.078	0.705	1.666	7.27e-01	ATTRaCT women
STROKE	PRS_PGS000828_WC1	matched	case-control	32	32	1.084	0.691	1.713	7.25e-01	ATTRaCT women
STROKE	PRS_PGS001227_WC2	matched	case-control	32	32	0.731	0.39	1.318	3.06e-01	ATTRaCT women
STROKE	PRS_PGS000661_LDL1	matched	case-control	32	32	0.864	0.517	1.418	5.63e-01	ATTRaCT women
STROKE	PRS_PGS000891_LDL2	matched	case-control	32	32	0.796	0.433	1.395	4.34e-01	ATTRaCT women
STROKE	PRS_PGS000660_HDL1	matched	case-control	32	32	0.832	0.518	1.302	4.26e-01	ATTRaCT women
STROKE	PRS_PGS000686_HDL2	matched	case-control	32	32	1.08	0.661	1.791	7.56e-01	ATTRaCT women
STROKE	PRS_PGS000659_TG1	matched	case-control	32	32	1.206	0.677	2.2	5.26e-01	ATTRaCT women
STROKE	PRS_PGS000699_TG2	matched	case-control	32	32	0.981	0.581	1.652	9.42e-01	ATTRaCT women
STROKE	PRS_PGS000306_GLU1	matched	case-control	32	32	1.26	0.77	2.118	3.64e-01	ATTRaCT women
STROKE	PRS_PGS000684_GLU2	matched	case-control	32	32	0.733	0.427	1.221	2.41e-01	ATTRaCT women
STROKE	PRS_PGS000685_HbA1c	matched	case-control	32	32	1.329	0.779	2.339	3.04e-01	ATTRaCT women
STROKE	PRS_PGS001133_DBP1	matched	case-control	32	32	1.151	0.702	1.912	5.79e-01	ATTRaCT women
STROKE	PRS_PGS000302_DBP2	matched	case-control	32	32	0.905	0.51	1.577	7.22e-01	ATTRaCT women
STROKE	PRS_PGS000301_SBP1	matched	case-control	32	32	0.81	0.462	1.383	4.44e-01	ATTRaCT women
STROKE	PRS_PGS001134_SBP2	matched	case-control	32	32	1.493	0.926	2.5	1.1e-01	ATTRaCT women
STROKE	PRS_Lind2019	matched	case-control	32	32	0.934	0.551	1.57	7.96e-01	ATTRaCT women
STROKE	PRS_Walree2022	matched	case-control	32	32	1.185	0.709	2.008	5.18e-01	ATTRaCT women
PVD	PRS_GenMetS	matched	case-control	9	9	1.176	0.482	3.021	7.19e-01	ATTRaCT women
PVD	PRS_PGS000828_WC1	matched	case-control	9	9	1.211	0.314	5.035	7.77e-01	ATTRaCT women
PVD	PRS_PGS001227_WC2	matched	case-control	9	9	0.584	0.184	1.62	3.17e-01	ATTRaCT women
PVD	PRS_PGS000661_LDL1	matched	case-control	9	9	1.16	0.579	2.424	6.74e-01	ATTRaCT women
PVD	PRS_PGS000891_LDL2	matched	case-control	9	9	1.485	0.673	3.697	3.45e-01	ATTRaCT women
PVD	PRS_PGS000660_HDL1	matched	case-control	9	9	0.924	0.307	2.7	8.82e-01	ATTRaCT women
PVD	PRS_PGS000686_HDL2	matched	case-control	9	9	0.948	0.423	2.093	8.92e-01	ATTRaCT women
PVD	PRS_PGS000659_TG1	matched	case-control	9	9	0.911	0.194	4.178	9.02e-01	ATTRaCT women
PVD	PRS_PGS000699_TG2	matched	case-control	9	9	0.338	0.064	1.125	1.2e-01	ATTRaCT women
PVD	PRS_PGS000306_GLU1	matched	case-control	9	9	1.352	0.491	4.166	5.63e-01	ATTRaCT women
PVD	PRS_PGS000684_GLU2	matched	case-control	9	9	2.562	0.875	11.17	1.34e-01	ATTRaCT women
PVD	PRS_PGS000685_HbA1c	matched	case-control	9	9	0.401	0.086	1.134	1.5e-01	ATTRaCT women
PVD	PRS_PGS001133_DBP1	matched	case-control	9	9	1.192	0.386	3.916	7.57e-01	ATTRaCT women
PVD	PRS_PGS000302_DBP2	matched	case-control	9	9	1.168	0.512	2.849	7.09e-01	ATTRaCT women
PVD	PRS_PGS000301_SBP1	matched	case-control	9	9	0.924	0.355	2.315	8.61e-01	ATTRaCT women
PVD	PRS_PGS001134_SBP2	matched	case-control	9	9	0.636	0.192	1.846	4.17e-01	ATTRaCT women
PVD	PRS_Lind2019	matched	case-control	9	9	0.899	0.386	2.009	7.91e-01	ATTRaCT women
PVD	PRS_Walree2022	matched	case-control	9	9	0.56	0.169	1.486	2.76e-01	ATTRaCT women
