disease	predictor	samples	test	case	control	OddsRatio	low	high	p-value	cohort
t2dm	PRS_GenMetS	matched	case-control	677	677	1.611	1.423	1.831	1.18e-13	UKB ASN women
t2dm	PRS_PGS000828_WC1	matched	case-control	677	677	1.101	0.989	1.225	7.83e-02	UKB ASN women
t2dm	PRS_PGS001227_WC2	matched	case-control	677	677	1.167	1.048	1.3	4.91e-03	UKB ASN women
t2dm	PRS_PGS000661_LDL1	matched	case-control	677	677	0.87	0.778	0.971	1.31e-02	UKB ASN women
t2dm	PRS_PGS000891_LDL2	matched	case-control	677	677	0.948	0.847	1.06	3.48e-01	UKB ASN women
t2dm	PRS_PGS000660_HDL1	matched	case-control	677	677	1.149	1.028	1.286	1.45e-02	UKB ASN women
t2dm	PRS_PGS000686_HDL2	matched	case-control	677	677	0.951	0.852	1.06	3.65e-01	UKB ASN women
t2dm	PRS_PGS000659_TG1	matched	case-control	677	677	0.938	0.839	1.049	2.62e-01	UKB ASN women
t2dm	PRS_PGS000699_TG2	matched	case-control	677	677	0.94	0.844	1.046	2.57e-01	UKB ASN women
t2dm	PRS_PGS000306_GLU1	matched	case-control	677	677	1.108	0.992	1.238	7.06e-02	UKB ASN women
t2dm	PRS_PGS000684_GLU2	matched	case-control	677	677	1.012	0.908	1.128	8.26e-01	UKB ASN women
t2dm	PRS_PGS000685_HbA1c	matched	case-control	677	677	1.139	1.023	1.27	1.8e-02	UKB ASN women
t2dm	PRS_PGS001133_DBP1	matched	case-control	677	677	0.989	0.887	1.103	8.39e-01	UKB ASN women
t2dm	PRS_PGS000302_DBP2	matched	case-control	677	677	1.023	0.918	1.14	6.79e-01	UKB ASN women
t2dm	PRS_PGS000301_SBP1	matched	case-control	677	677	1.227	1.098	1.372	3.15e-04	UKB ASN women
t2dm	PRS_PGS001134_SBP2	matched	case-control	677	677	1.117	1.003	1.246	4.46e-02	UKB ASN women
t2dm	PRS_Lind2019	matched	case-control	677	677	1.022	0.919	1.136	6.86e-01	UKB ASN women
t2dm	PRS_Walree2022	matched	case-control	677	677	1.315	1.18	1.468	8.72e-07	UKB ASN women
hypertension	PRS_GenMetS	matched	case-control	1369	1369	1.4	1.295	1.516	6.25e-17	UKB ASN women
hypertension	PRS_PGS000828_WC1	matched	case-control	1369	1369	1.045	0.968	1.128	2.57e-01	UKB ASN women
hypertension	PRS_PGS001227_WC2	matched	case-control	1369	1369	1.081	1.003	1.165	4.08e-02	UKB ASN women
hypertension	PRS_PGS000661_LDL1	matched	case-control	1369	1369	0.939	0.871	1.012	9.9e-02	UKB ASN women
hypertension	PRS_PGS000891_LDL2	matched	case-control	1369	1369	1	0.927	1.078	9.9e-01	UKB ASN women
hypertension	PRS_PGS000660_HDL1	matched	case-control	1369	1369	1.101	1.02	1.189	1.39e-02	UKB ASN women
hypertension	PRS_PGS000686_HDL2	matched	case-control	1369	1369	0.993	0.92	1.071	8.48e-01	UKB ASN women
hypertension	PRS_PGS000659_TG1	matched	case-control	1369	1369	1.065	0.986	1.15	1.1e-01	UKB ASN women
hypertension	PRS_PGS000699_TG2	matched	case-control	1369	1369	0.951	0.882	1.025	1.88e-01	UKB ASN women
hypertension	PRS_PGS000306_GLU1	matched	case-control	1369	1369	1.049	0.973	1.132	2.12e-01	UKB ASN women
hypertension	PRS_PGS000684_GLU2	matched	case-control	1369	1369	0.939	0.871	1.012	1.02e-01	UKB ASN women
hypertension	PRS_PGS000685_HbA1c	matched	case-control	1369	1369	0.973	0.903	1.049	4.77e-01	UKB ASN women
hypertension	PRS_PGS001133_DBP1	matched	case-control	1369	1369	1.199	1.112	1.293	2.63e-06	UKB ASN women
hypertension	PRS_PGS000302_DBP2	matched	case-control	1369	1369	1.182	1.096	1.276	1.53e-05	UKB ASN women
hypertension	PRS_PGS000301_SBP1	matched	case-control	1369	1369	1.377	1.275	1.49	7.34e-16	UKB ASN women
hypertension	PRS_PGS001134_SBP2	matched	case-control	1369	1369	1.348	1.249	1.457	3.45e-14	UKB ASN women
hypertension	PRS_Lind2019	matched	case-control	1369	1369	0.964	0.894	1.04	3.45e-01	UKB ASN women
hypertension	PRS_Walree2022	matched	case-control	1369	1369	1.274	1.18	1.376	7.26e-10	UKB ASN women
HF	PRS_GenMetS	matched	case-control	114	114	1.699	1.264	2.338	6.67e-04	UKB ASN women
HF	PRS_PGS000828_WC1	matched	case-control	114	114	1.365	1.04	1.809	2.71e-02	UKB ASN women
HF	PRS_PGS001227_WC2	matched	case-control	114	114	1.134	0.887	1.455	3.17e-01	UKB ASN women
HF	PRS_PGS000661_LDL1	matched	case-control	114	114	0.925	0.701	1.217	5.78e-01	UKB ASN women
HF	PRS_PGS000891_LDL2	matched	case-control	114	114	1.039	0.794	1.363	7.8e-01	UKB ASN women
HF	PRS_PGS000660_HDL1	matched	case-control	114	114	1.12	0.862	1.462	3.98e-01	UKB ASN women
HF	PRS_PGS000686_HDL2	matched	case-control	114	114	0.917	0.712	1.178	5e-01	UKB ASN women
HF	PRS_PGS000659_TG1	matched	case-control	114	114	1.067	0.837	1.363	6e-01	UKB ASN women
HF	PRS_PGS000699_TG2	matched	case-control	114	114	1.078	0.841	1.386	5.53e-01	UKB ASN women
HF	PRS_PGS000306_GLU1	matched	case-control	114	114	1.135	0.857	1.512	3.79e-01	UKB ASN women
HF	PRS_PGS000684_GLU2	matched	case-control	114	114	0.787	0.603	1.019	7.22e-02	UKB ASN women
HF	PRS_PGS000685_HbA1c	matched	case-control	114	114	1.111	0.859	1.442	4.24e-01	UKB ASN women
HF	PRS_PGS001133_DBP1	matched	case-control	114	114	0.937	0.729	1.201	6.08e-01	UKB ASN women
HF	PRS_PGS000302_DBP2	matched	case-control	114	114	1.012	0.762	1.346	9.33e-01	UKB ASN women
HF	PRS_PGS000301_SBP1	matched	case-control	114	114	1.446	1.09	1.941	1.19e-02	UKB ASN women
HF	PRS_PGS001134_SBP2	matched	case-control	114	114	1.394	1.082	1.818	1.18e-02	UKB ASN women
HF	PRS_Lind2019	matched	case-control	114	114	0.974	0.749	1.265	8.42e-01	UKB ASN women
HF	PRS_Walree2022	matched	case-control	114	114	1.684	1.276	2.254	3.2e-04	UKB ASN women
CAD	PRS_GenMetS	matched	case-control	449	449	1.657	1.413	1.957	1.13e-09	UKB ASN women
CAD	PRS_PGS000828_WC1	matched	case-control	449	449	1.027	0.901	1.172	6.91e-01	UKB ASN women
CAD	PRS_PGS001227_WC2	matched	case-control	449	449	1.012	0.889	1.152	8.52e-01	UKB ASN women
CAD	PRS_PGS000661_LDL1	matched	case-control	449	449	1.021	0.892	1.168	7.65e-01	UKB ASN women
CAD	PRS_PGS000891_LDL2	matched	case-control	449	449	1.052	0.919	1.205	4.64e-01	UKB ASN women
CAD	PRS_PGS000660_HDL1	matched	case-control	449	449	1.137	0.991	1.305	6.75e-02	UKB ASN women
CAD	PRS_PGS000686_HDL2	matched	case-control	449	449	0.985	0.862	1.124	8.21e-01	UKB ASN women
CAD	PRS_PGS000659_TG1	matched	case-control	449	449	1.064	0.933	1.213	3.57e-01	UKB ASN women
CAD	PRS_PGS000699_TG2	matched	case-control	449	449	1.05	0.919	1.201	4.7e-01	UKB ASN women
CAD	PRS_PGS000306_GLU1	matched	case-control	449	449	1.133	0.99	1.298	6.95e-02	UKB ASN women
CAD	PRS_PGS000684_GLU2	matched	case-control	449	449	0.883	0.773	1.007	6.38e-02	UKB ASN women
CAD	PRS_PGS000685_HbA1c	matched	case-control	449	449	0.992	0.871	1.128	8.98e-01	UKB ASN women
CAD	PRS_PGS001133_DBP1	matched	case-control	449	449	1.159	1.019	1.32	2.5e-02	UKB ASN women
CAD	PRS_PGS000302_DBP2	matched	case-control	449	449	1.11	0.973	1.268	1.21e-01	UKB ASN women
CAD	PRS_PGS000301_SBP1	matched	case-control	449	449	1.279	1.122	1.461	2.57e-04	UKB ASN women
CAD	PRS_PGS001134_SBP2	matched	case-control	449	449	1.292	1.133	1.477	1.47e-04	UKB ASN women
CAD	PRS_Lind2019	matched	case-control	449	449	1.124	0.989	1.28	7.43e-02	UKB ASN women
CAD	PRS_Walree2022	matched	case-control	449	449	1.298	1.135	1.486	1.48e-04	UKB ASN women
stroke	PRS_GenMetS	matched	case-control	114	114	1.123	0.853	1.486	4.09e-01	UKB ASN women
stroke	PRS_PGS000828_WC1	matched	case-control	114	114	1.258	0.961	1.66	9.83e-02	UKB ASN women
stroke	PRS_PGS001227_WC2	matched	case-control	114	114	1.165	0.884	1.544	2.8e-01	UKB ASN women
stroke	PRS_PGS000661_LDL1	matched	case-control	114	114	1.075	0.813	1.424	6.13e-01	UKB ASN women
stroke	PRS_PGS000891_LDL2	matched	case-control	114	114	1.184	0.908	1.554	2.15e-01	UKB ASN women
stroke	PRS_PGS000660_HDL1	matched	case-control	114	114	1.143	0.88	1.493	3.18e-01	UKB ASN women
stroke	PRS_PGS000686_HDL2	matched	case-control	114	114	0.911	0.695	1.19	4.95e-01	UKB ASN women
stroke	PRS_PGS000659_TG1	matched	case-control	114	114	0.928	0.7	1.226	5.97e-01	UKB ASN women
stroke	PRS_PGS000699_TG2	matched	case-control	114	114	1.071	0.815	1.41	6.23e-01	UKB ASN women
stroke	PRS_PGS000306_GLU1	matched	case-control	114	114	1.042	0.784	1.387	7.76e-01	UKB ASN women
stroke	PRS_PGS000684_GLU2	matched	case-control	114	114	1.021	0.802	1.302	8.63e-01	UKB ASN women
stroke	PRS_PGS000685_HbA1c	matched	case-control	114	114	1.036	0.812	1.325	7.74e-01	UKB ASN women
stroke	PRS_PGS001133_DBP1	matched	case-control	114	114	1.338	1.053	1.719	1.94e-02	UKB ASN women
stroke	PRS_PGS000302_DBP2	matched	case-control	114	114	1.659	1.252	2.235	5.84e-04	UKB ASN women
stroke	PRS_PGS000301_SBP1	matched	case-control	114	114	1.827	1.367	2.494	8.06e-05	UKB ASN women
stroke	PRS_PGS001134_SBP2	matched	case-control	114	114	1.542	1.167	2.061	2.75e-03	UKB ASN women
stroke	PRS_Lind2019	matched	case-control	114	114	1.102	0.837	1.455	4.9e-01	UKB ASN women
stroke	PRS_Walree2022	matched	case-control	114	114	1.477	1.127	1.962	5.68e-03	UKB ASN women
NAFLD	PRS_GenMetS	matched	case-control	66	66	1.318	0.915	1.931	1.44e-01	UKB ASN women
NAFLD	PRS_PGS000828_WC1	matched	case-control	66	66	1.269	0.896	1.824	1.85e-01	UKB ASN women
NAFLD	PRS_PGS001227_WC2	matched	case-control	66	66	1.133	0.812	1.593	4.65e-01	UKB ASN women
NAFLD	PRS_PGS000661_LDL1	matched	case-control	66	66	1.141	0.821	1.603	4.36e-01	UKB ASN women
NAFLD	PRS_PGS000891_LDL2	matched	case-control	66	66	1.126	0.831	1.539	4.46e-01	UKB ASN women
NAFLD	PRS_PGS000660_HDL1	matched	case-control	66	66	1.243	0.859	1.821	2.53e-01	UKB ASN women
NAFLD	PRS_PGS000686_HDL2	matched	case-control	66	66	0.914	0.617	1.346	6.47e-01	UKB ASN women
NAFLD	PRS_PGS000659_TG1	matched	case-control	66	66	1.165	0.825	1.659	3.88e-01	UKB ASN women
NAFLD	PRS_PGS000699_TG2	matched	case-control	66	66	0.993	0.697	1.413	9.67e-01	UKB ASN women
NAFLD	PRS_PGS000306_GLU1	matched	case-control	66	66	1.343	0.977	1.876	7.46e-02	UKB ASN women
NAFLD	PRS_PGS000684_GLU2	matched	case-control	66	66	1.157	0.818	1.649	4.13e-01	UKB ASN women
NAFLD	PRS_PGS000685_HbA1c	matched	case-control	66	66	1.092	0.779	1.54	6.11e-01	UKB ASN women
NAFLD	PRS_PGS001133_DBP1	matched	case-control	66	66	1.057	0.74	1.515	7.6e-01	UKB ASN women
NAFLD	PRS_PGS000302_DBP2	matched	case-control	66	66	1.258	0.916	1.751	1.61e-01	UKB ASN women
NAFLD	PRS_PGS000301_SBP1	matched	case-control	66	66	1.363	0.979	1.932	7.21e-02	UKB ASN women
NAFLD	PRS_PGS001134_SBP2	matched	case-control	66	66	1.264	0.927	1.75	1.45e-01	UKB ASN women
