,model,bootstrap_iteration,fpr,tpr,auc
0,GenMetS + covariates,0,0.0,0.0,0.717027998443259
1,GenMetS + covariates,0,0.010101010101010102,0.023923444976076555,0.717027998443259
2,GenMetS + covariates,0,0.020202020202020204,0.08133971291866028,0.717027998443259
3,GenMetS + covariates,0,0.030303030303030304,0.10047846889952153,0.717027998443259
4,GenMetS + covariates,0,0.04040404040404041,0.1291866028708134,0.717027998443259
5,GenMetS + covariates,0,0.05050505050505051,0.13875598086124402,0.717027998443259
6,GenMetS + covariates,0,0.06060606060606061,0.14354066985645933,0.717027998443259
7,GenMetS + covariates,0,0.07070707070707072,0.15311004784688995,0.717027998443259
8,GenMetS + covariates,0,0.08080808080808081,0.17703349282296652,0.717027998443259
9,GenMetS + covariates,0,0.09090909090909091,0.20095693779904306,0.717027998443259
10,GenMetS + covariates,0,0.10101010101010102,0.28708133971291866,0.717027998443259
11,GenMetS + covariates,0,0.11111111111111112,0.3157894736842105,0.717027998443259
12,GenMetS + covariates,0,0.12121212121212122,0.35406698564593303,0.717027998443259
13,GenMetS + covariates,0,0.13131313131313133,0.3588516746411483,0.717027998443259
14,GenMetS + covariates,0,0.14141414141414144,0.36363636363636365,0.717027998443259
15,GenMetS + covariates,0,0.15151515151515152,0.37320574162679426,0.717027998443259
16,GenMetS + covariates,0,0.16161616161616163,0.39712918660287083,0.717027998443259
17,GenMetS + covariates,0,0.17171717171717174,0.40669856459330145,0.717027998443259
18,GenMetS + covariates,0,0.18181818181818182,0.41626794258373206,0.717027998443259
19,GenMetS + covariates,0,0.19191919191919193,0.44976076555023925,0.717027998443259
20,GenMetS + covariates,0,0.20202020202020204,0.45933014354066987,0.717027998443259
21,GenMetS + covariates,0,0.21212121212121213,0.507177033492823,0.717027998443259
22,GenMetS + covariates,0,0.22222222222222224,0.5167464114832536,0.717027998443259
23,GenMetS + covariates,0,0.23232323232323235,0.5263157894736842,0.717027998443259
24,GenMetS + covariates,0,0.24242424242424243,0.5358851674641149,0.717027998443259
25,GenMetS + covariates,0,0.25252525252525254,0.5550239234449761,0.717027998443259
26,GenMetS + covariates,0,0.26262626262626265,0.569377990430622,0.717027998443259
27,GenMetS + covariates,0,0.27272727272727276,0.5789473684210527,0.717027998443259
28,GenMetS + covariates,0,0.2828282828282829,0.583732057416268,0.717027998443259
29,GenMetS + covariates,0,0.29292929292929293,0.6124401913875598,0.717027998443259
30,GenMetS + covariates,0,0.30303030303030304,0.6124401913875598,0.717027998443259
31,GenMetS + covariates,0,0.31313131313131315,0.631578947368421,0.717027998443259
32,GenMetS + covariates,0,0.32323232323232326,0.6363636363636364,0.717027998443259
33,GenMetS + covariates,0,0.33333333333333337,0.645933014354067,0.717027998443259
34,GenMetS + covariates,0,0.3434343434343435,0.6555023923444976,0.717027998443259
35,GenMetS + covariates,0,0.3535353535353536,0.6602870813397129,0.717027998443259
36,GenMetS + covariates,0,0.36363636363636365,0.6698564593301436,0.717027998443259
37,GenMetS + covariates,0,0.37373737373737376,0.6842105263157895,0.717027998443259
38,GenMetS + covariates,0,0.38383838383838387,0.6889952153110048,0.717027998443259
39,GenMetS + covariates,0,0.393939393939394,0.6985645933014354,0.717027998443259
40,GenMetS + covariates,0,0.4040404040404041,0.7033492822966507,0.717027998443259
41,GenMetS + covariates,0,0.4141414141414142,0.7177033492822966,0.717027998443259
42,GenMetS + covariates,0,0.42424242424242425,0.7368421052631579,0.717027998443259
43,GenMetS + covariates,0,0.43434343434343436,0.7751196172248804,0.717027998443259
44,GenMetS + covariates,0,0.4444444444444445,0.7799043062200957,0.717027998443259
45,GenMetS + covariates,0,0.4545454545454546,0.8133971291866029,0.717027998443259
46,GenMetS + covariates,0,0.4646464646464647,0.8133971291866029,0.717027998443259
47,GenMetS + covariates,0,0.4747474747474748,0.8277511961722488,0.717027998443259
48,GenMetS + covariates,0,0.48484848484848486,0.8325358851674641,0.717027998443259
49,GenMetS + covariates,0,0.494949494949495,0.8325358851674641,0.717027998443259
50,GenMetS + covariates,0,0.5050505050505051,0.8325358851674641,0.717027998443259
51,GenMetS + covariates,0,0.5151515151515152,0.8325358851674641,0.717027998443259
52,GenMetS + covariates,0,0.5252525252525253,0.8410419989367358,0.717027998443259
53,GenMetS + covariates,0,0.5353535353535354,0.8516746411483254,0.717027998443259
54,GenMetS + covariates,0,0.5454545454545455,0.8516746411483254,0.717027998443259
55,GenMetS + covariates,0,0.5555555555555556,0.8516746411483254,0.717027998443259
56,GenMetS + covariates,0,0.5656565656565657,0.8516746411483254,0.717027998443259
57,GenMetS + covariates,0,0.5757575757575758,0.8708133971291866,0.717027998443259
58,GenMetS + covariates,0,0.5858585858585859,0.8755980861244019,0.717027998443259
59,GenMetS + covariates,0,0.595959595959596,0.8803827751196173,0.717027998443259
60,GenMetS + covariates,0,0.6060606060606061,0.8995215311004785,0.717027998443259
61,GenMetS + covariates,0,0.6161616161616162,0.9090909090909091,0.717027998443259
62,GenMetS + covariates,0,0.6262626262626263,0.9138755980861244,0.717027998443259
63,GenMetS + covariates,0,0.6363636363636365,0.9138755980861244,0.717027998443259
64,GenMetS + covariates,0,0.6464646464646465,0.9138755980861244,0.717027998443259
65,GenMetS + covariates,0,0.6565656565656566,0.9138755980861244,0.717027998443259
66,GenMetS + covariates,0,0.6666666666666667,0.9138755980861244,0.717027998443259
67,GenMetS + covariates,0,0.6767676767676768,0.9234449760765551,0.717027998443259
