,model,bootstrap_iteration,c_index
0,GenMetS + covariates,0,0.717027998443259
1,GenMetS + covariates,1,0.7158032096334791
2,GenMetS + covariates,2,0.7129644467846432
3,GenMetS + covariates,3,0.7202216066481995
4,GenMetS + covariates,4,0.7110070740138733
5,GenMetS + covariates,5,0.7201529269018566
6,GenMetS + covariates,6,0.7220416199262837
7,GenMetS + covariates,7,0.7142464687163755
8,GenMetS + covariates,8,0.7158032096334791
9,GenMetS + covariates,9,0.7148874796822418
10,GenMetS + covariates,10,0.7209312973604084
11,GenMetS + covariates,11,0.7172569309310685
12,GenMetS + covariates,12,0.7183329136237724
13,GenMetS + covariates,13,0.7153224514090795
14,GenMetS + covariates,14,0.7167418328334973
15,GenMetS + covariates,15,0.7186076326091435
16,GenMetS + covariates,16,0.7202216066481995
17,GenMetS + covariates,17,0.712346329067558
18,GenMetS + covariates,18,0.7158489961310409
19,GenMetS + covariates,19,0.7220416199262837
20,GenMetS + covariates,20,0.7142464687163755
21,GenMetS + covariates,21,0.7191914104530573
22,GenMetS + covariates,22,0.7158032096334791
23,GenMetS + covariates,23,0.7179780682676679
24,GenMetS + covariates,24,0.7180238547652298
25,GenMetS + covariates,25,0.7172569309310685
26,GenMetS + covariates,26,0.7209312973604084
27,GenMetS + covariates,27,0.7143838282090611
28,GenMetS + covariates,28,0.7173599505505827
29,GenMetS + covariates,29,0.7128843204139099
30,GenMetS + covariates,30,0.72072525812138
31,GenMetS + covariates,31,0.7191914104530573
32,GenMetS + covariates,32,0.7171996978091161
33,GenMetS + covariates,33,0.7158032096334791
34,GenMetS + covariates,34,0.7157459765115267
35,GenMetS + covariates,35,0.7167418328334973
36,GenMetS + covariates,36,0.7180238547652298
37,GenMetS + covariates,37,0.7220416199262837
38,GenMetS + covariates,38,0.7189166914676862
39,GenMetS + covariates,39,0.7100798974382455
40,GenMetS + covariates,40,0.7184817197408484
41,GenMetS + covariates,41,0.7206794716238182
42,GenMetS + covariates,42,0.7209312973604084
43,GenMetS + covariates,43,0.7035553215356791
44,GenMetS + covariates,44,0.7219614935555505
45,GenMetS + covariates,45,0.7189166914676862
46,GenMetS + covariates,46,0.7141777889700327
47,GenMetS + covariates,47,0.7225796112726357
48,GenMetS + covariates,48,0.7178636020237632
49,GenMetS + covariates,49,0.7202216066481995
50,GenMetS + covariates,50,0.7186190792335341
51,GenMetS + covariates,51,0.712346329067558
52,GenMetS + covariates,52,0.7201529269018566
53,GenMetS + covariates,53,0.7144410613310135
54,GenMetS + covariates,54,0.7181841075066963
55,GenMetS + covariates,55,0.7167418328334973
56,GenMetS + covariates,56,0.7181841075066963
57,GenMetS + covariates,57,0.7159863556237266
58,GenMetS + covariates,58,0.7129644467846432
59,GenMetS + covariates,59,0.7184817197408484
60,GenMetS + covariates,60,0.7202216066481995
61,GenMetS + covariates,61,0.7209312973604084
62,GenMetS + covariates,62,0.7188251184725625
63,GenMetS + covariates,63,0.7223048922872645
64,GenMetS + covariates,64,0.7187793319750005
65,GenMetS + covariates,65,0.7189968178384194
66,GenMetS + covariates,66,0.7182871271262105
67,GenMetS + covariates,67,0.7154025777798128
68,GenMetS + covariates,68,0.7154025777798128
69,GenMetS + covariates,69,0.7209312973604084
70,GenMetS + covariates,70,0.7206107918774753
71,GenMetS + covariates,71,0.7183901467457247
72,GenMetS + covariates,72,0.7159863556237266
73,GenMetS + covariates,73,0.7167418328334973
74,GenMetS + covariates,74,0.7201529269018566
