,model,bootstrap_iteration,calibration_slope
0,GenMetS + covariates,0,3.810185718529261
1,GenMetS + covariates,1,3.4004519824475583
2,GenMetS + covariates,2,3.1563993686086818
3,GenMetS + covariates,3,3.289104127010772
4,GenMetS + covariates,4,3.3424941754320407
5,GenMetS + covariates,5,3.3331692199352725
6,GenMetS + covariates,6,3.36613477378213
7,GenMetS + covariates,7,3.250240680644625
8,GenMetS + covariates,8,3.4004519824475583
9,GenMetS + covariates,9,3.1479967831617355
10,GenMetS + covariates,10,3.3385997071150886
11,GenMetS + covariates,11,3.401721933122979
12,GenMetS + covariates,12,3.3634803265985362
13,GenMetS + covariates,13,3.628810725036734
14,GenMetS + covariates,14,3.647019907535068
15,GenMetS + covariates,15,3.6122855305022763
16,GenMetS + covariates,16,3.289104127010772
17,GenMetS + covariates,17,3.1306041094337407
18,GenMetS + covariates,18,3.645298416438784
19,GenMetS + covariates,19,3.36613477378213
20,GenMetS + covariates,20,3.250240680644625
21,GenMetS + covariates,21,3.448587096464955
22,GenMetS + covariates,22,3.4004519824475583
23,GenMetS + covariates,23,3.254176378371113
24,GenMetS + covariates,24,3.255563169851187
25,GenMetS + covariates,25,3.401721933122979
26,GenMetS + covariates,26,3.3385997071150886
27,GenMetS + covariates,27,3.6173085175847035
28,GenMetS + covariates,28,3.43960132129204
29,GenMetS + covariates,29,3.3856734016657475
30,GenMetS + covariates,30,3.5138585327298126
31,GenMetS + covariates,31,3.448587096464955
32,GenMetS + covariates,32,3.401569984238597
33,GenMetS + covariates,33,3.4004519824475583
34,GenMetS + covariates,34,1.8830337035198115
35,GenMetS + covariates,35,3.647019907535068
36,GenMetS + covariates,36,3.255563169851187
37,GenMetS + covariates,37,3.36613477378213
38,GenMetS + covariates,38,3.4789912976778465
39,GenMetS + covariates,39,3.365241469821521
40,GenMetS + covariates,40,3.377124973128575
41,GenMetS + covariates,41,3.864815575520864
42,GenMetS + covariates,42,3.3385997071150886
43,GenMetS + covariates,43,2.9072629972034356
44,GenMetS + covariates,44,3.885244270454547
45,GenMetS + covariates,45,3.4789912976778465
46,GenMetS + covariates,46,3.610683810424396
47,GenMetS + covariates,47,3.775664660019995
48,GenMetS + covariates,48,3.370578111018019
49,GenMetS + covariates,49,3.289104127010772
50,GenMetS + covariates,50,3.8366115430999104
51,GenMetS + covariates,51,3.1306041094337407
52,GenMetS + covariates,52,3.3331692199352725
53,GenMetS + covariates,53,3.549804471801538
54,GenMetS + covariates,54,3.458776370300545
55,GenMetS + covariates,55,3.647019907535068
56,GenMetS + covariates,56,3.458776370300545
57,GenMetS + covariates,57,3.423647928261869
58,GenMetS + covariates,58,3.1563993686086818
59,GenMetS + covariates,59,3.377124973128575
60,GenMetS + covariates,60,3.289104127010772
61,GenMetS + covariates,61,3.3385997071150886
62,GenMetS + covariates,62,3.434055645861938
63,GenMetS + covariates,63,3.8508198950434482
64,GenMetS + covariates,64,3.460824015229819
65,GenMetS + covariates,65,3.4372201935540225
66,GenMetS + covariates,66,3.6061559694370757
67,GenMetS + covariates,67,3.415498025442299
68,GenMetS + covariates,68,3.415498025442299
69,GenMetS + covariates,69,3.3385997071150886
70,GenMetS + covariates,70,3.509075368728121
71,GenMetS + covariates,71,3.450662142701426
72,GenMetS + covariates,72,3.423647928261869
73,GenMetS + covariates,73,3.647019907535068
74,GenMetS + covariates,74,3.3331692199352725
75,GenMetS + covariates,75,3.5893871636827934
76,GenMetS + covariates,76,3.377124973128575
77,GenMetS + covariates,77,3.6173085175847035
78,GenMetS + covariates,78,3.3695999094219333
79,GenMetS + covariates,79,3.410249593623778
80,GenMetS + covariates,80,3.3663325630639145
81,GenMetS + covariates,81,3.401721933122979
82,GenMetS + covariates,82,3.549804471801538
83,GenMetS + covariates,83,3.401721933122979
84,GenMetS + covariates,84,3.6122855305022763
85,GenMetS + covariates,85,3.4789912976778465
86,GenMetS + covariates,86,3.1830441233348497
87,GenMetS + covariates,87,3.458776370300545
88,GenMetS + covariates,88,3.549804471801538
89,GenMetS + covariates,89,3.377124973128575
90,GenMetS + covariates,90,3.647019907535068
91,GenMetS + covariates,91,3.3663325630639145
92,GenMetS + covariates,92,3.6497573937150403
93,GenMetS + covariates,93,3.4004519824475583
94,GenMetS + covariates,94,3.610683810424396
95,GenMetS + covariates,95,3.4789912976778465
96,GenMetS + covariates,96,3.4370047793839764
97,GenMetS + covariates,97,3.250240680644625
98,GenMetS + covariates,98,3.36613477378213
99,GenMetS + covariates,99,3.3558397969454554
100,GenMetS only,0,2.0211256305837835
101,GenMetS only,1,2.076099246790297
102,GenMetS only,2,1.9214877574000286
103,GenMetS only,3,1.86998609166349
104,GenMetS only,4,1.86998609166349
105,GenMetS only,5,1.9488258670779277
106,GenMetS only,6,1.86998609166349
107,GenMetS only,7,2.013607284109042
108,GenMetS only,8,1.81501830102351
109,GenMetS only,9,2.0167008792859944
110,GenMetS only,10,1.86998609166349
111,GenMetS only,11,1.8385604127424737
112,GenMetS only,12,2.086114084667957
113,GenMetS only,13,1.8234947182012118
114,GenMetS only,14,2.0211256305837835
115,GenMetS only,15,1.9488258670779277
116,GenMetS only,16,1.8385604127424737
117,GenMetS only,17,1.9214877574000286
118,GenMetS only,18,1.670656716784649
119,GenMetS only,19,1.9488258670779277
120,GenMetS only,20,1.86998609166349
121,GenMetS only,21,1.86998609166349
122,GenMetS only,22,2.044004955072898
123,GenMetS only,23,1.8385604127424737
124,GenMetS only,24,1.9488258670779277
125,GenMetS only,25,1.81501830102351
126,GenMetS only,26,1.86998609166349
127,GenMetS only,27,1.9195064432891542
128,GenMetS only,28,1.86998609166349
129,GenMetS only,29,1.9460418244144098
130,GenMetS only,30,1.8385604127424737
131,GenMetS only,31,1.670656716784649
132,GenMetS only,32,1.9460418244144098
133,GenMetS only,33,2.013607284109042
134,GenMetS only,34,2.0211256305837835
135,GenMetS only,35,1.9220848633855747
136,GenMetS only,36,2.063931452344286
137,GenMetS only,37,2.076099246790297
138,GenMetS only,38,1.9488258670779277
139,GenMetS only,39,1.8234947182012118
140,GenMetS only,40,1.8385604127424737
141,GenMetS only,41,2.063931452344286
142,GenMetS only,42,1.777359937447057
143,GenMetS only,43,2.063931452344286
144,GenMetS only,44,1.8385604127424737
145,GenMetS only,45,1.9220848633855747
146,GenMetS only,46,1.8385604127424737
147,GenMetS only,47,2.0211256305837835
148,GenMetS only,48,1.8385604127424737
149,GenMetS only,49,1.9488258670779277
150,GenMetS only,50,2.063931452344286
151,GenMetS only,51,1.9488258670779277
152,GenMetS only,52,1.86998609166349
153,GenMetS only,53,1.8234947182012118
154,GenMetS only,54,2.076099246790297
155,GenMetS only,55,1.670656716784649
156,GenMetS only,56,1.86998609166349
157,GenMetS only,57,1.8385604127424737
158,GenMetS only,58,2.076099246790297
159,GenMetS only,59,2.063931452344286
160,GenMetS only,60,1.9460418244144098
161,GenMetS only,61,1.86998609166349
162,GenMetS only,62,1.9220848633855747
163,GenMetS only,63,1.8385604127424737
164,GenMetS only,64,1.8337137900535154
165,GenMetS only,65,2.013607284109042
166,GenMetS only,66,2.076099246790297
167,GenMetS only,67,2.0211256305837835
168,GenMetS only,68,1.670656716784649
169,GenMetS only,69,1.9460418244144098
170,GenMetS only,70,2.0167008792859944
171,GenMetS only,71,1.81501830102351
172,GenMetS only,72,2.063931452344286
173,GenMetS only,73,1.8385604127424737
174,GenMetS only,74,2.013607284109042
175,GenMetS only,75,1.9488258670779277
176,GenMetS only,76,1.670656716784649
177,GenMetS only,77,1.8385604127424737
178,GenMetS only,78,2.076099246790297
179,GenMetS only,79,1.9220848633855747
180,GenMetS only,80,1.9488258670779277
181,GenMetS only,81,1.86998609166349
182,GenMetS only,82,1.9460418244144098
183,GenMetS only,83,1.86998609166349
184,GenMetS only,84,1.86998609166349
185,GenMetS only,85,1.86998609166349
186,GenMetS only,86,1.8219463210767288
187,GenMetS only,87,2.013607284109042
188,GenMetS only,88,1.9460418244144098
189,GenMetS only,89,2.0999621017535324
190,GenMetS only,90,2.0211256305837835
191,GenMetS only,91,1.670656716784649
192,GenMetS only,92,1.8234947182012118
193,GenMetS only,93,1.8385604127424737
194,GenMetS only,94,1.9460418244144098
195,GenMetS only,95,1.9220848633855747
196,GenMetS only,96,2.0999621017535324
197,GenMetS only,97,1.81501830102351
198,GenMetS only,98,1.9460418244144098
199,GenMetS only,99,1.8385604127424737
200,GenMetS + age,0,3.4507668075166302
201,GenMetS + age,1,3.273283233950637
202,GenMetS + age,2,3.4501942832296275
203,GenMetS + age,3,3.273283233950637
204,GenMetS + age,4,3.4501942832296275
205,GenMetS + age,5,3.452761317418949
206,GenMetS + age,6,3.4507668075166302
207,GenMetS + age,7,3.4456211542159347
208,GenMetS + age,8,3.318899446349055
209,GenMetS + age,9,3.19942697037063
210,GenMetS + age,10,3.308699508263276
211,GenMetS + age,11,3.3271565371549414
212,GenMetS + age,12,3.3147157108610164
213,GenMetS + age,13,3.1589631965475258
214,GenMetS + age,14,3.452761317418949
215,GenMetS + age,15,3.4507668075166302
216,GenMetS + age,16,3.273283233950637
217,GenMetS + age,17,3.452761317418949
218,GenMetS + age,18,3.3083750086640364
219,GenMetS + age,19,3.2058511660245945
220,GenMetS + age,20,3.308699508263276
221,GenMetS + age,21,3.319011880423054
222,GenMetS + age,22,3.6587314254158287
223,GenMetS + age,23,3.6657716158095313
224,GenMetS + age,24,3.2844803447438005
225,GenMetS + age,25,3.6259377695524826
226,GenMetS + age,26,3.308699508263276
227,GenMetS + age,27,3.4474599065602756
228,GenMetS + age,28,3.19942697037063
229,GenMetS + age,29,3.319011880423054
230,GenMetS + age,30,3.3135645250997245
231,GenMetS + age,31,3.354718468615395
232,GenMetS + age,32,3.3481846178766648
233,GenMetS + age,33,3.1864542822838056
234,GenMetS + age,34,3.452761317418949
235,GenMetS + age,35,3.3135645250997245
236,GenMetS + age,36,3.3147157108610164
237,GenMetS + age,37,3.338557753168312
238,GenMetS + age,38,3.4507668075166302
239,GenMetS + age,39,3.3271565371549414
240,GenMetS + age,40,3.219966819707621
241,GenMetS + age,41,3.3055124401401526
242,GenMetS + age,42,3.338557753168312
243,GenMetS + age,43,3.3135645250997245
244,GenMetS + age,44,3.3082845262572835
245,GenMetS + age,45,3.4587681137426274
246,GenMetS + age,46,3.3174621955920567
247,GenMetS + age,47,3.19942697037063
248,GenMetS + age,48,3.338557753168312
249,GenMetS + age,49,3.4507668075166302
250,GenMetS + age,50,3.273283233950637
251,GenMetS + age,51,3.223516476664984
252,GenMetS + age,52,3.273283233950637
253,GenMetS + age,53,3.3300652179096915
254,GenMetS + age,54,3.3135645250997245
255,GenMetS + age,55,3.1857429755078726
256,GenMetS + age,56,3.446664032495545
257,GenMetS + age,57,3.2844803447438005
258,GenMetS + age,58,3.4474599065602756
259,GenMetS + age,59,3.4587681137426274
260,GenMetS + age,60,3.2844803447438005
261,GenMetS + age,61,3.3271565371549414
262,GenMetS + age,62,3.2844803447438005
263,GenMetS + age,63,3.188791107422903
264,GenMetS + age,64,3.3147157108610164
265,GenMetS + age,65,3.4501942832296275
266,GenMetS + age,66,3.2695614565257825
267,GenMetS + age,67,3.2927248520245294
268,GenMetS + age,68,3.319011880423054
269,GenMetS + age,69,3.338557753168312
270,GenMetS + age,70,3.4501942832296275
271,GenMetS + age,71,3.308990862076087
272,GenMetS + age,72,3.3135645250997245
273,GenMetS + age,73,3.1864542822838056
274,GenMetS + age,74,3.3147157108610164
275,GenMetS + age,75,3.187212275588453
276,GenMetS + age,76,3.273283233950637
277,GenMetS + age,77,3.308990862076087
278,GenMetS + age,78,3.3083750086640364
