,model,bootstrap_iteration,discrimination_slope
0,GenMetS + covariates,0,0.07288164
1,GenMetS + covariates,1,0.13051564
2,GenMetS + covariates,2,0.14130291
3,GenMetS + covariates,3,0.14784953
4,GenMetS + covariates,4,0.12896782
5,GenMetS + covariates,5,0.14526403
6,GenMetS + covariates,6,0.14438444
7,GenMetS + covariates,7,0.13341126
8,GenMetS + covariates,8,0.13051564
9,GenMetS + covariates,9,0.15121159
10,GenMetS + covariates,10,0.14579296
11,GenMetS + covariates,11,0.12527168
12,GenMetS + covariates,12,0.13298431
13,GenMetS + covariates,13,0.053306848
14,GenMetS + covariates,14,0.05325964
15,GenMetS + covariates,15,0.109273165
16,GenMetS + covariates,16,0.14784953
17,GenMetS + covariates,17,0.14839855
18,GenMetS + covariates,18,0.05327198
19,GenMetS + covariates,19,0.14438444
20,GenMetS + covariates,20,0.13341126
21,GenMetS + covariates,21,0.12227553
22,GenMetS + covariates,22,0.13051564
23,GenMetS + covariates,23,0.14566854
24,GenMetS + covariates,24,0.1473234
25,GenMetS + covariates,25,0.12527168
26,GenMetS + covariates,26,0.14579296
27,GenMetS + covariates,27,0.053139687
28,GenMetS + covariates,28,0.12593248
29,GenMetS + covariates,29,0.1257056
30,GenMetS + covariates,30,0.12886006
31,GenMetS + covariates,31,0.12227553
32,GenMetS + covariates,32,0.12875003
33,GenMetS + covariates,33,0.13051564
34,GenMetS + covariates,34,0.019364268
35,GenMetS + covariates,35,0.05325964
36,GenMetS + covariates,36,0.1473234
37,GenMetS + covariates,37,0.14438444
38,GenMetS + covariates,38,0.130844
39,GenMetS + covariates,39,0.12663698
40,GenMetS + covariates,40,0.1391905
41,GenMetS + covariates,41,0.09102586
42,GenMetS + covariates,42,0.14579296
43,GenMetS + covariates,43,0.14940092
44,GenMetS + covariates,44,0.0914056
45,GenMetS + covariates,45,0.130844
46,GenMetS + covariates,46,0.053099096
47,GenMetS + covariates,47,0.080640346
48,GenMetS + covariates,48,0.13005918
49,GenMetS + covariates,49,0.14784953
