,model,bootstrap_iteration,fpr,tpr,auc
0,GenMetS + covariates,0,0.0,,0.7798507462686567
1,GenMetS + covariates,0,0.010101010101010102,0.029850746268656716,0.7798507462686567
2,GenMetS + covariates,0,0.020202020202020204,0.1044776119402985,0.7798507462686567
3,GenMetS + covariates,0,0.030303030303030304,0.1044776119402985,0.7798507462686567
4,GenMetS + covariates,0,0.04040404040404041,0.1044776119402985,0.7798507462686567
5,GenMetS + covariates,0,0.05050505050505051,0.1791044776119403,0.7798507462686567
6,GenMetS + covariates,0,0.06060606060606061,0.19402985074626866,0.7798507462686567
7,GenMetS + covariates,0,0.07070707070707072,0.19402985074626866,0.7798507462686567
8,GenMetS + covariates,0,0.08080808080808081,0.26865671641791045,0.7798507462686567
9,GenMetS + covariates,0,0.09090909090909091,0.373134328358209,0.7798507462686567
10,GenMetS + covariates,0,0.10101010101010102,0.373134328358209,0.7798507462686567
11,GenMetS + covariates,0,0.11111111111111112,0.373134328358209,0.7798507462686567
12,GenMetS + covariates,0,0.12121212121212122,0.373134328358209,0.7798507462686567
13,GenMetS + covariates,0,0.13131313131313133,0.373134328358209,0.7798507462686567
14,GenMetS + covariates,0,0.14141414141414144,0.3880597014925373,0.7798507462686567
15,GenMetS + covariates,0,0.15151515151515152,0.3880597014925373,0.7798507462686567
16,GenMetS + covariates,0,0.16161616161616163,0.3880597014925373,0.7798507462686567
17,GenMetS + covariates,0,0.17171717171717174,0.3880597014925373,0.7798507462686567
18,GenMetS + covariates,0,0.18181818181818182,0.4626865671641791,0.7798507462686567
19,GenMetS + covariates,0,0.19191919191919193,0.47761194029850745,0.7798507462686567
20,GenMetS + covariates,0,0.20202020202020204,0.47761194029850745,0.7798507462686567
21,GenMetS + covariates,0,0.21212121212121213,0.47761194029850745,0.7798507462686567
22,GenMetS + covariates,0,0.22222222222222224,0.5671641791044776,0.7798507462686567
23,GenMetS + covariates,0,0.23232323232323235,0.5671641791044776,0.7798507462686567
24,GenMetS + covariates,0,0.24242424242424243,0.5671641791044776,0.7798507462686567
25,GenMetS + covariates,0,0.25252525252525254,0.582089552238806,0.7798507462686567
26,GenMetS + covariates,0,0.26262626262626265,0.582089552238806,0.7798507462686567
27,GenMetS + covariates,0,0.27272727272727276,0.582089552238806,0.7798507462686567
28,GenMetS + covariates,0,0.2828282828282829,0.6865671641791045,0.7798507462686567
29,GenMetS + covariates,0,0.29292929292929293,0.6865671641791045,0.7798507462686567
30,GenMetS + covariates,0,0.30303030303030304,0.7313432835820896,0.7798507462686567
31,GenMetS + covariates,0,0.31313131313131315,0.7761194029850746,0.7798507462686567
32,GenMetS + covariates,0,0.32323232323232326,0.7761194029850746,0.7798507462686567
33,GenMetS + covariates,0,0.33333333333333337,0.7761194029850746,0.7798507462686567
34,GenMetS + covariates,0,0.3434343434343435,0.7761194029850746,0.7798507462686567
35,GenMetS + covariates,0,0.3535353535353536,0.8507462686567164,0.7798507462686567
36,GenMetS + covariates,0,0.36363636363636365,0.8507462686567164,0.7798507462686567
37,GenMetS + covariates,0,0.37373737373737376,0.8507462686567164,0.7798507462686567
38,GenMetS + covariates,0,0.38383838383838387,0.8507462686567164,0.7798507462686567
39,GenMetS + covariates,0,0.393939393939394,0.8507462686567164,0.7798507462686567
40,GenMetS + covariates,0,0.4040404040404041,0.8955223880597015,0.7798507462686567
41,GenMetS + covariates,0,0.4141414141414142,0.9104477611940298,0.7798507462686567
42,GenMetS + covariates,0,0.42424242424242425,0.9104477611940298,0.7798507462686567
43,GenMetS + covariates,0,0.43434343434343436,0.9402985074626866,0.7798507462686567
44,GenMetS + covariates,0,0.4444444444444445,0.9402985074626866,0.7798507462686567
45,GenMetS + covariates,0,0.4545454545454546,0.9402985074626866,0.7798507462686567
46,GenMetS + covariates,0,0.4646464646464647,0.9402985074626866,0.7798507462686567
47,GenMetS + covariates,0,0.4747474747474748,0.9402985074626866,0.7798507462686567
48,GenMetS + covariates,0,0.48484848484848486,0.9402985074626866,0.7798507462686567
49,GenMetS + covariates,0,0.494949494949495,0.9552238805970149,0.7798507462686567
50,GenMetS + covariates,0,0.5050505050505051,0.9552238805970149,0.7798507462686567
51,GenMetS + covariates,0,0.5151515151515152,0.9552238805970149,0.7798507462686567
52,GenMetS + covariates,0,0.5252525252525253,0.9552238805970149,0.7798507462686567
53,GenMetS + covariates,0,0.5353535353535354,0.9552238805970149,0.7798507462686567
54,GenMetS + covariates,0,0.5454545454545455,0.9552238805970149,0.7798507462686567
55,GenMetS + covariates,0,0.5555555555555556,0.9552238805970149,0.7798507462686567
56,GenMetS + covariates,0,0.5656565656565657,0.9552238805970149,0.7798507462686567
57,GenMetS + covariates,0,0.5757575757575758,0.9552238805970149,0.7798507462686567
58,GenMetS + covariates,0,0.5858585858585859,0.9552238805970149,0.7798507462686567
59,GenMetS + covariates,0,0.595959595959596,0.9701492537313433,0.7798507462686567
60,GenMetS + covariates,0,0.6060606060606061,0.9701492537313433,0.7798507462686567
61,GenMetS + covariates,0,0.6161616161616162,0.9701492537313433,0.7798507462686567
62,GenMetS + covariates,0,0.6262626262626263,0.9701492537313433,0.7798507462686567
63,GenMetS + covariates,0,0.6363636363636365,0.9701492537313433,0.7798507462686567
64,GenMetS + covariates,0,0.6464646464646465,0.9701492537313433,0.7798507462686567
65,GenMetS + covariates,0,0.6565656565656566,0.9701492537313433,0.7798507462686567
66,GenMetS + covariates,0,0.6666666666666667,0.9850746268656716,0.7798507462686567
67,GenMetS + covariates,0,0.6767676767676768,0.9850746268656716,0.7798507462686567
68,GenMetS + covariates,0,0.686868686868687,0.9850746268656716,0.7798507462686567
69,GenMetS + covariates,0,0.696969696969697,0.9850746268656716,0.7798507462686567
70,GenMetS + covariates,0,0.7070707070707072,0.9850746268656716,0.7798507462686567
71,GenMetS + covariates,0,0.7171717171717172,0.9850746268656716,0.7798507462686567
72,GenMetS + covariates,0,0.7272727272727273,0.9850746268656716,0.7798507462686567
73,GenMetS + covariates,0,0.7373737373737375,0.9850746268656716,0.7798507462686567
74,GenMetS + covariates,0,0.7474747474747475,0.9850746268656716,0.7798507462686567
75,GenMetS + covariates,0,0.7575757575757577,0.9850746268656716,0.7798507462686567
76,GenMetS + covariates,0,0.7676767676767677,0.9850746268656716,0.7798507462686567
77,GenMetS + covariates,0,0.7777777777777778,0.9850746268656716,0.7798507462686567
78,GenMetS + covariates,0,0.787878787878788,0.9850746268656716,0.7798507462686567
79,GenMetS + covariates,0,0.797979797979798,0.9850746268656716,0.7798507462686567
80,GenMetS + covariates,0,0.8080808080808082,0.9850746268656716,0.7798507462686567
81,GenMetS + covariates,0,0.8181818181818182,0.9850746268656716,0.7798507462686567
82,GenMetS + covariates,0,0.8282828282828284,0.9850746268656716,0.7798507462686567
83,GenMetS + covariates,0,0.8383838383838385,0.9850746268656716,0.7798507462686567
84,GenMetS + covariates,0,0.8484848484848485,0.9850746268656716,0.7798507462686567
85,GenMetS + covariates,0,0.8585858585858587,0.9850746268656716,0.7798507462686567
86,GenMetS + covariates,0,0.8686868686868687,0.9850746268656716,0.7798507462686567
87,GenMetS + covariates,0,0.8787878787878789,0.9850746268656716,0.7798507462686567
88,GenMetS + covariates,0,0.888888888888889,0.9850746268656716,0.7798507462686567
89,GenMetS + covariates,0,0.8989898989898991,0.9850746268656716,0.7798507462686567
90,GenMetS + covariates,0,0.9090909090909092,0.9850746268656716,0.7798507462686567
91,GenMetS + covariates,0,0.9191919191919192,1.0,0.7798507462686567
92,GenMetS + covariates,0,0.9292929292929294,1.0,0.7798507462686567
93,GenMetS + covariates,0,0.9393939393939394,1.0,0.7798507462686567
94,GenMetS + covariates,0,0.9494949494949496,1.0,0.7798507462686567
95,GenMetS + covariates,0,0.9595959595959597,1.0,0.7798507462686567
96,GenMetS + covariates,0,0.9696969696969697,1.0,0.7798507462686567
97,GenMetS + covariates,0,0.9797979797979799,1.0,0.7798507462686567
98,GenMetS + covariates,0,0.98989898989899,1.0,0.7798507462686567
99,GenMetS + covariates,0,1.0,1.0,0.7798507462686567
100,GenMetS + covariates,1,0.0,,0.7717295873573309
