,model,bootstrap_iteration,c_index
0,GenMetS + covariates,0,0.7798507462686567
1,GenMetS + covariates,1,0.771729587357331
2,GenMetS + covariates,2,0.7510974539069359
3,GenMetS + covariates,3,0.7579016681299385
4,GenMetS + covariates,4,0.7666812993854258
5,GenMetS + covariates,5,0.7513169446883231
6,GenMetS + covariates,6,0.7846795434591747
7,GenMetS + covariates,7,0.7453906935908692
8,GenMetS + covariates,8,0.7827041264266901
9,GenMetS + covariates,9,0.7805092186128183
10,GenMetS + covariates,10,0.7388059701492538
11,GenMetS + covariates,11,0.755377524143986
12,GenMetS + covariates,12,0.7502194907813872
13,GenMetS + covariates,13,0.778972783143108
14,GenMetS + covariates,14,0.7579016681299385
15,GenMetS + covariates,15,0.7987269534679543
16,GenMetS + covariates,16,0.7816066725197541
17,GenMetS + covariates,17,0.7434152765583846
18,GenMetS + covariates,18,0.7712906057945567
19,GenMetS + covariates,19,0.7636084284460053
20,GenMetS + covariates,20,0.7710711150131695
21,GenMetS + covariates,21,0.7827041264266901
22,GenMetS + covariates,22,0.7807287093942055
23,GenMetS + covariates,23,0.7530728709394205
24,GenMetS + covariates,24,0.7587796312554873
25,GenMetS + covariates,25,0.7688762071992976
26,GenMetS + covariates,26,0.7648156277436348
27,GenMetS + covariates,27,0.79400790166813
28,GenMetS + covariates,28,0.7579016681299385
29,GenMetS + covariates,29,0.7992756804214223
30,GenMetS + covariates,30,0.7768876207199298
31,GenMetS + covariates,31,0.7846795434591747
32,GenMetS + covariates,32,0.7768876207199298
33,GenMetS + covariates,33,0.7872036874451273
34,GenMetS + covariates,34,0.79400790166813
35,GenMetS + covariates,35,0.7429762949956101
36,GenMetS + covariates,36,0.7420983318700615
37,GenMetS + covariates,37,0.7471466198419666
38,GenMetS + covariates,38,0.7890693590869183
39,GenMetS + covariates,39,0.7768876207199298
40,GenMetS + covariates,40,0.778972783143108
41,GenMetS + covariates,41,0.7768876207199298
42,GenMetS + covariates,42,0.7453906935908692
43,GenMetS + covariates,43,0.7686567164179104
44,GenMetS + covariates,44,0.7546093064091308
45,GenMetS + covariates,45,0.7510974539069359
46,GenMetS + covariates,46,0.7719490781387182
47,GenMetS + covariates,47,0.7641571553994733
48,GenMetS + covariates,48,0.7666812993854258
49,GenMetS + covariates,49,0.7816066725197541
50,GenMetS + covariates,50,0.7712906057945567
51,GenMetS + covariates,51,0.7730465320456541
52,GenMetS + covariates,52,0.7453906935908692
53,GenMetS + covariates,53,0.7579016681299385
54,GenMetS + covariates,54,0.7685469710272168
55,GenMetS + covariates,55,0.7970807726075505
56,GenMetS + covariates,56,0.7579016681299385
57,GenMetS + covariates,57,0.7647058823529411
58,GenMetS + covariates,58,0.7513169446883231
59,GenMetS + covariates,59,0.7719490781387182
60,GenMetS + covariates,60,0.7710711150131695
61,GenMetS + covariates,61,0.7684372256365233
62,GenMetS + covariates,62,0.7805092186128183
63,GenMetS + covariates,63,0.7636084284460053
64,GenMetS + covariates,64,0.7513169446883231
65,GenMetS + covariates,65,0.7655838454784899
66,GenMetS + covariates,66,0.7666812993854258
67,GenMetS + covariates,67,0.7685469710272168
68,GenMetS + covariates,68,0.7482440737489026
69,GenMetS + covariates,69,0.7684372256365233
70,GenMetS + covariates,70,0.7684372256365233
71,GenMetS + covariates,71,0.7805092186128183
72,GenMetS + covariates,72,0.7688762071992976
73,GenMetS + covariates,73,0.7648156277436348
74,GenMetS + covariates,74,0.7530728709394205
75,GenMetS + covariates,75,0.7510974539069359
76,GenMetS + covariates,76,0.7655838454784899
77,GenMetS + covariates,77,0.7712906057945567
78,GenMetS + covariates,78,0.7992756804214223
79,GenMetS + covariates,79,0.7655838454784899
80,GenMetS + covariates,80,0.7429762949956101
81,GenMetS + covariates,81,0.7510974539069359
82,GenMetS + covariates,82,0.7911545215100966
83,GenMetS + covariates,83,0.79400790166813
84,GenMetS + covariates,84,0.7453906935908692
