,model,bootstrap_iteration,calibration_slope
0,GenMetS + covariates,0,2.890990522429706
1,GenMetS + covariates,1,2.0478138814525746
2,GenMetS + covariates,2,2.543035129597059
3,GenMetS + covariates,3,2.646517839669809
4,GenMetS + covariates,4,2.7320557914045343
5,GenMetS + covariates,5,2.6052137324421865
6,GenMetS + covariates,6,2.9241563382210507
7,GenMetS + covariates,7,2.4980620353839678
8,GenMetS + covariates,8,1.0871147497223896
9,GenMetS + covariates,9,2.884348702531426
10,GenMetS + covariates,10,0.8903422380007252
11,GenMetS + covariates,11,0.9070808939491387
12,GenMetS + covariates,12,2.561548380150979
13,GenMetS + covariates,13,2.853610932675146
14,GenMetS + covariates,14,2.646517839669809
15,GenMetS + covariates,15,2.1584613439866613
16,GenMetS + covariates,16,2.923926123657998
17,GenMetS + covariates,17,2.478200679956576
18,GenMetS + covariates,18,2.557706322733056
19,GenMetS + covariates,19,2.7318384983090773
20,GenMetS + covariates,20,2.033768084717337
21,GenMetS + covariates,21,1.0871147497223896
22,GenMetS + covariates,22,2.911890270687363
23,GenMetS + covariates,23,2.348741565155639
24,GenMetS + covariates,24,2.6204545819157654
25,GenMetS + covariates,25,2.727050428670961
26,GenMetS + covariates,26,1.1131667041257174
27,GenMetS + covariates,27,2.978895158839808
28,GenMetS + covariates,28,2.646517839669809
29,GenMetS + covariates,29,3.0775720136848346
30,GenMetS + covariates,30,2.7812069870421654
31,GenMetS + covariates,31,2.9241563382210507
32,GenMetS + covariates,32,2.8632524036977443
33,GenMetS + covariates,33,2.9278719315482546
34,GenMetS + covariates,34,2.978895158839808
35,GenMetS + covariates,35,2.476887367071814
36,GenMetS + covariates,36,0.8819811063137575
37,GenMetS + covariates,37,0.8834308712184177
38,GenMetS + covariates,38,2.945441453699787
39,GenMetS + covariates,39,2.8632524036977443
40,GenMetS + covariates,40,2.853610932675146
41,GenMetS + covariates,41,2.8632524036977443
42,GenMetS + covariates,42,2.4980620353839678
43,GenMetS + covariates,43,2.7289176381560027
44,GenMetS + covariates,44,2.3504789176013654
45,GenMetS + covariates,45,2.543035129597059
46,GenMetS + covariates,46,2.0203678040704776
47,GenMetS + covariates,47,2.384733099433581
48,GenMetS + covariates,48,2.7320557914045343
49,GenMetS + covariates,49,2.923926123657998
50,GenMetS + covariates,50,2.0029755189905423
51,GenMetS + covariates,51,2.814818138370842
52,GenMetS + covariates,52,2.4980620353839678
53,GenMetS + covariates,53,2.646517839669809
54,GenMetS + covariates,54,2.7431969605150726
55,GenMetS + covariates,55,2.9966839351046324
56,GenMetS + covariates,56,2.646517839669809
57,GenMetS + covariates,57,2.453067019798265
58,GenMetS + covariates,58,2.6052137324421865
59,GenMetS + covariates,59,2.0203678040704776
60,GenMetS + covariates,60,2.033768084717337
61,GenMetS + covariates,61,2.7634208059421694
62,GenMetS + covariates,62,2.884348702531426
63,GenMetS + covariates,63,2.7318384983090773
64,GenMetS + covariates,64,2.6052137324421865
65,GenMetS + covariates,65,2.7378789743664393
66,GenMetS + covariates,66,2.7320557914045343
67,GenMetS + covariates,67,2.7431969605150726
68,GenMetS + covariates,68,2.599095042893935
69,GenMetS + covariates,69,2.7634208059421694
70,GenMetS + covariates,70,2.7634208059421694
71,GenMetS + covariates,71,2.884348702531426
72,GenMetS + covariates,72,2.727050428670961
73,GenMetS + covariates,73,1.1131667041257174
74,GenMetS + covariates,74,2.348741565155639
75,GenMetS + covariates,75,2.543035129597059
76,GenMetS + covariates,76,2.7378789743664393
77,GenMetS + covariates,77,2.0029755189905423
78,GenMetS + covariates,78,3.0775720136848346
79,GenMetS + covariates,79,2.7378789743664393
80,GenMetS + covariates,80,2.476887367071814
81,GenMetS + covariates,81,2.543035129597059
82,GenMetS + covariates,82,2.659516114286497
83,GenMetS + covariates,83,2.978895158839808
84,GenMetS + covariates,84,2.4980620353839678
85,GenMetS + covariates,85,2.884348702531426
86,GenMetS + covariates,86,2.899849125970367
87,GenMetS + covariates,87,2.899849125970367
88,GenMetS + covariates,88,2.6792689151029903
89,GenMetS + covariates,89,2.101301560940812
90,GenMetS + covariates,90,2.478200679956576
91,GenMetS + covariates,91,2.476887367071814
92,GenMetS + covariates,92,2.5371662026226773
93,GenMetS + covariates,93,2.7431969605150726
94,GenMetS + covariates,94,2.978895158839808
95,GenMetS + covariates,95,2.8863960885683904
96,GenMetS + covariates,96,2.712785789687355
97,GenMetS + covariates,97,2.033768084717337
98,GenMetS + covariates,98,2.4980620353839678
99,GenMetS + covariates,99,2.911890270687363
100,GenMetS only,0,0.9786849164698721
101,GenMetS only,1,0.9786849164698721
102,GenMetS only,2,0.9212616461820616
103,GenMetS only,3,0.9894073736948713
104,GenMetS only,4,0.9212616461820616
105,GenMetS only,5,0.968961163955527
106,GenMetS only,6,0.9040028808270405
107,GenMetS only,7,0.9786849164698721
108,GenMetS only,8,0.9786849164698721
109,GenMetS only,9,0.9936072698934297
110,GenMetS only,10,0.9212616461820616
111,GenMetS only,11,0.9894073736948713
112,GenMetS only,12,0.9786849164698721
