,model,bootstrap_iteration,discrimination_slope
0,GenMetS + covariates,0,0.16828755
1,GenMetS + covariates,1,0.07131752
2,GenMetS + covariates,2,0.17210871
3,GenMetS + covariates,3,0.14375997
4,GenMetS + covariates,4,0.14580056
5,GenMetS + covariates,5,0.1842067
6,GenMetS + covariates,6,0.1520454
7,GenMetS + covariates,7,0.17895427
8,GenMetS + covariates,8,0.03352204
9,GenMetS + covariates,9,0.15457603
10,GenMetS + covariates,10,0.027321965
11,GenMetS + covariates,11,0.027697653
12,GenMetS + covariates,12,0.1273686
13,GenMetS + covariates,13,0.1837039
14,GenMetS + covariates,14,0.14375997
15,GenMetS + covariates,15,0.07557917
16,GenMetS + covariates,16,0.15460229
17,GenMetS + covariates,17,0.1800636
18,GenMetS + covariates,18,0.104465276
19,GenMetS + covariates,19,0.1493687
20,GenMetS + covariates,20,0.07105705
21,GenMetS + covariates,21,0.03352204
22,GenMetS + covariates,22,0.16905177
23,GenMetS + covariates,23,0.09641883
24,GenMetS + covariates,24,0.1768302
25,GenMetS + covariates,25,0.14330316
26,GenMetS + covariates,26,0.03461644
27,GenMetS + covariates,27,0.1621694
28,GenMetS + covariates,28,0.14375997
29,GenMetS + covariates,29,0.17217574
30,GenMetS + covariates,30,0.13358596
31,GenMetS + covariates,31,0.1520454
32,GenMetS + covariates,32,0.16276497
33,GenMetS + covariates,33,0.15023234
34,GenMetS + covariates,34,0.1621694
35,GenMetS + covariates,35,0.1719332
36,GenMetS + covariates,36,0.027003914
37,GenMetS + covariates,37,0.027020007
38,GenMetS + covariates,38,0.15083182
39,GenMetS + covariates,39,0.16276497
40,GenMetS + covariates,40,0.1837039
41,GenMetS + covariates,41,0.16276497
42,GenMetS + covariates,42,0.17895427
43,GenMetS + covariates,43,0.14157
44,GenMetS + covariates,44,0.09623718
45,GenMetS + covariates,45,0.17210871
46,GenMetS + covariates,46,0.07047838
47,GenMetS + covariates,47,0.09089002
48,GenMetS + covariates,48,0.14580056
49,GenMetS + covariates,49,0.15460229
50,GenMetS + covariates,50,0.069669664
51,GenMetS + covariates,51,0.17211807
52,GenMetS + covariates,52,0.17895427
53,GenMetS + covariates,53,0.14375997
54,GenMetS + covariates,54,0.15265265
55,GenMetS + covariates,55,0.15446731
56,GenMetS + covariates,56,0.14375997
57,GenMetS + covariates,57,0.099443525
58,GenMetS + covariates,58,0.1842067
59,GenMetS + covariates,59,0.07047838
60,GenMetS + covariates,60,0.07105705
61,GenMetS + covariates,61,0.17603934
62,GenMetS + covariates,62,0.15457603
63,GenMetS + covariates,63,0.1493687
64,GenMetS + covariates,64,0.1842067
65,GenMetS + covariates,65,0.1758357
66,GenMetS + covariates,66,0.14580056
67,GenMetS + covariates,67,0.15265265
68,GenMetS + covariates,68,0.16168669
69,GenMetS + covariates,69,0.17603934
70,GenMetS + covariates,70,0.17603934
71,GenMetS + covariates,71,0.15457603
72,GenMetS + covariates,72,0.14330316
73,GenMetS + covariates,73,0.03461644
74,GenMetS + covariates,74,0.09641883
75,GenMetS + covariates,75,0.17210871
76,GenMetS + covariates,76,0.1758357
77,GenMetS + covariates,77,0.069669664
78,GenMetS + covariates,78,0.17217574
79,GenMetS + covariates,79,0.1758357
80,GenMetS + covariates,80,0.1719332
81,GenMetS + covariates,81,0.17210871
82,GenMetS + covariates,82,0.10921776
83,GenMetS + covariates,83,0.1621694
84,GenMetS + covariates,84,0.17895427
85,GenMetS + covariates,85,0.15457603
86,GenMetS + covariates,86,0.15634087
87,GenMetS + covariates,87,0.15634087
88,GenMetS + covariates,88,0.16228765
89,GenMetS + covariates,89,0.07401365
90,GenMetS + covariates,90,0.1800636
91,GenMetS + covariates,91,0.1719332
92,GenMetS + covariates,92,0.12620145
93,GenMetS + covariates,93,0.15265265
94,GenMetS + covariates,94,0.1621694
95,GenMetS + covariates,95,0.16222286
96,GenMetS + covariates,96,0.14465764
97,GenMetS + covariates,97,0.07105705
98,GenMetS + covariates,98,0.17895427
99,GenMetS + covariates,99,0.16905177
100,GenMetS only,0,0.04327005
101,GenMetS only,1,0.04327005
102,GenMetS only,2,0.03388405
103,GenMetS only,3,0.035434186
104,GenMetS only,4,0.03388405
105,GenMetS only,5,0.041359782
106,GenMetS only,6,0.03763035
107,GenMetS only,7,0.04327005
108,GenMetS only,8,0.04327005
109,GenMetS only,9,0.040375948
110,GenMetS only,10,0.03388405
111,GenMetS only,11,0.035434186
112,GenMetS only,12,0.04327005
113,GenMetS only,13,0.035434186
114,GenMetS only,14,0.03899315
115,GenMetS only,15,0.03373736
116,GenMetS only,16,0.03373736
117,GenMetS only,17,0.03388405
118,GenMetS only,18,0.03763035
119,GenMetS only,19,0.035434186
120,GenMetS only,20,0.04327005
121,GenMetS only,21,0.03388405
122,GenMetS only,22,0.03388405
123,GenMetS only,23,0.033358335
124,GenMetS only,24,0.03388405
125,GenMetS only,25,0.03388405
126,GenMetS only,26,0.04327005
127,GenMetS only,27,0.03388405
128,GenMetS only,28,0.04327005
129,GenMetS only,29,0.035434186
130,GenMetS only,30,0.04327005
131,GenMetS only,31,0.031056404
132,GenMetS only,32,0.04606676
133,GenMetS only,33,0.04606676
134,GenMetS only,34,0.04327005
135,GenMetS only,35,0.04327005
136,GenMetS only,36,0.03388405
137,GenMetS only,37,0.03763035
138,GenMetS only,38,0.04327005
139,GenMetS only,39,0.04327005
140,GenMetS only,40,0.033358335
