,model,bootstrap_iteration,feature,feature_importance
0,GenMetS + covariates,0,Age,0.48544409297075525
1,GenMetS + covariates,0,SocialEconomicalStatus,0.27591970503619967
2,GenMetS + covariates,0,GenMetS,0.21362926299594062
3,GenMetS + covariates,0,Education,0.15066389164966706
4,GenMetS + covariates,0,Sleephour,0.05284313675443883
5,GenMetS + covariates,0,PhysicalActivity,0.05195843266323208
6,GenMetS + covariates,0,TVhour,0.028731722633181907
7,GenMetS + covariates,1,Age,0.19139677445792275
8,GenMetS + covariates,1,SocialEconomicalStatus,0.11132710026156298
9,GenMetS + covariates,1,GenMetS,0.07699225590798002
10,GenMetS + covariates,1,Education,0.041908259672733636
11,GenMetS + covariates,1,PhysicalActivity,0.024005314366848864
12,GenMetS + covariates,1,TVhour,0.0131064252942904
13,GenMetS + covariates,1,Sleephour,0.005774847548549855
14,GenMetS + covariates,2,Age,0.5447401429810734
15,GenMetS + covariates,2,SocialEconomicalStatus,0.3497968848546692
16,GenMetS + covariates,2,GenMetS,0.29349892415692674
17,GenMetS + covariates,2,Education,0.18132884726004186
18,GenMetS + covariates,2,PhysicalActivity,0.12406853627192747
19,GenMetS + covariates,2,Sleephour,0.0935446698553861
20,GenMetS + covariates,2,TVhour,0.04205806807676951
21,GenMetS + covariates,3,Age,0.410541281979255
22,GenMetS + covariates,3,SocialEconomicalStatus,0.2670530476928517
23,GenMetS + covariates,3,GenMetS,0.21504301820112454
24,GenMetS + covariates,3,Education,0.11867283436178261
25,GenMetS + covariates,3,PhysicalActivity,0.08790716631248317
26,GenMetS + covariates,3,Sleephour,0.06432311374763093
27,GenMetS + covariates,3,TVhour,0.03767924189388201
28,GenMetS + covariates,4,Age,0.4072347169673518
29,GenMetS + covariates,4,SocialEconomicalStatus,0.25591464833953176
30,GenMetS + covariates,4,GenMetS,0.2132584669607588
31,GenMetS + covariates,4,Education,0.11795013758967875
32,GenMetS + covariates,4,PhysicalActivity,0.0915582893993705
33,GenMetS + covariates,4,Sleephour,0.04923217423274011
34,GenMetS + covariates,4,TVhour,0.033868607515469204
35,GenMetS + covariates,5,Age,0.5756342204671906
36,GenMetS + covariates,5,SocialEconomicalStatus,0.33647496899244966
37,GenMetS + covariates,5,GenMetS,0.28385451899734504
38,GenMetS + covariates,5,Education,0.1941463905235545
39,GenMetS + covariates,5,PhysicalActivity,0.13285803309214922
40,GenMetS + covariates,5,Sleephour,0.10394120346451245
41,GenMetS + covariates,5,TVhour,0.07865357300359756
42,GenMetS + covariates,6,Age,0.40203384759075317
43,GenMetS + covariates,6,SocialEconomicalStatus,0.22105921851878096
44,GenMetS + covariates,6,GenMetS,0.18736725488756964
45,GenMetS + covariates,6,Education,0.09500364362500194
46,GenMetS + covariates,6,PhysicalActivity,0.07538540613563317
47,GenMetS + covariates,6,TVhour,0.025344767568564
48,GenMetS + covariates,6,Sleephour,0.0
49,GenMetS + covariates,7,Age,0.545457732796393
50,GenMetS + covariates,7,SocialEconomicalStatus,0.33442199218011004
51,GenMetS + covariates,7,GenMetS,0.2984365137670775
52,GenMetS + covariates,7,Education,0.20092289127167998
53,GenMetS + covariates,7,PhysicalActivity,0.14972478826281063
54,GenMetS + covariates,7,TVhour,0.10058955178647824
55,GenMetS + covariates,7,Sleephour,0.09556759021072482
56,GenMetS + covariates,8,Age,0.06991013714257217
57,GenMetS + covariates,8,SocialEconomicalStatus,0.05849748385290577
58,GenMetS + covariates,8,GenMetS,0.04359391127492271
59,GenMetS + covariates,8,Education,0.04358529752368729
60,GenMetS + covariates,8,TVhour,0.024339110872811723
61,GenMetS + covariates,8,PhysicalActivity,0.014978469918309529
62,GenMetS + covariates,8,Sleephour,0.0
63,GenMetS + covariates,9,Age,0.40203195676445563
64,GenMetS + covariates,9,SocialEconomicalStatus,0.2626074176852729
65,GenMetS + covariates,9,GenMetS,0.2039480392199562
66,GenMetS + covariates,9,Education,0.12715873050063642
67,GenMetS + covariates,9,PhysicalActivity,0.08484404428084209
68,GenMetS + covariates,9,TVhour,0.03802321307864729
69,GenMetS + covariates,9,Sleephour,0.022233075480839158
70,GenMetS + covariates,10,Age,0.06900708000415377
71,GenMetS + covariates,10,SocialEconomicalStatus,0.06177306188206641
72,GenMetS + covariates,10,GenMetS,0.031005702514839556
73,GenMetS + covariates,10,PhysicalActivity,0.030596211993566682
74,GenMetS + covariates,10,Education,0.026679120883345616
75,GenMetS + covariates,10,TVhour,0.007432236273462573
76,GenMetS + covariates,10,Sleephour,0.006539173527034342
77,GenMetS + covariates,11,Age,0.0692470059225818
78,GenMetS + covariates,11,SocialEconomicalStatus,0.052619949063355265
79,GenMetS + covariates,11,GenMetS,0.03084452284258555
80,GenMetS + covariates,11,Education,0.02664784615866288
81,GenMetS + covariates,11,PhysicalActivity,0.01968830031754247
82,GenMetS + covariates,11,TVhour,0.007471284395635667
83,GenMetS + covariates,11,Sleephour,0.006588732126617318
84,GenMetS + covariates,12,Age,0.37559939787978364
85,GenMetS + covariates,12,SocialEconomicalStatus,0.2576907509374954
86,GenMetS + covariates,12,GenMetS,0.17188612362797576
87,GenMetS + covariates,12,PhysicalActivity,0.14438324414338496
88,GenMetS + covariates,12,Education,0.09315470925359816
89,GenMetS + covariates,12,Sleephour,0.03443888189312482
90,GenMetS + covariates,12,TVhour,0.03419906610250477
91,GenMetS + covariates,13,Age,0.507970671435003
92,GenMetS + covariates,13,SocialEconomicalStatus,0.31259073540231186
93,GenMetS + covariates,13,GenMetS,0.24528178149948104
94,GenMetS + covariates,13,Education,0.15593102075423426
95,GenMetS + covariates,13,PhysicalActivity,0.11182052594157692
96,GenMetS + covariates,13,Sleephour,0.0884003953921471
97,GenMetS + covariates,13,TVhour,0.06783564721779141
98,GenMetS + covariates,14,Age,0.410541281979255
