,model,bootstrap_iteration,fpr,tpr,auc
0,GenMetS + covariates,0,0.0,0.0,0.700034715334259
1,GenMetS + covariates,0,0.010101010101010102,0.03535353535353536,0.700034715334259
2,GenMetS + covariates,0,0.020202020202020204,0.07070707070707072,0.700034715334259
3,GenMetS + covariates,0,0.030303030303030304,0.10606060606060606,0.700034715334259
4,GenMetS + covariates,0,0.04040404040404041,0.14141414141414144,0.700034715334259
5,GenMetS + covariates,0,0.05050505050505051,0.1767676767676768,0.700034715334259
6,GenMetS + covariates,0,0.06060606060606061,0.21212121212121213,0.700034715334259
7,GenMetS + covariates,0,0.07070707070707072,0.24726134585289516,0.700034715334259
8,GenMetS + covariates,0,0.08080808080808081,0.27503912363067295,0.700034715334259
9,GenMetS + covariates,0,0.09090909090909091,0.30281690140845074,0.700034715334259
10,GenMetS + covariates,0,0.10101010101010102,0.32732963437188795,0.700034715334259
11,GenMetS + covariates,0,0.11111111111111112,0.34147104851330207,0.700034715334259
12,GenMetS + covariates,0,0.12121212121212122,0.3556124626547162,0.700034715334259
13,GenMetS + covariates,0,0.13131313131313133,0.36975387679613037,0.700034715334259
14,GenMetS + covariates,0,0.14141414141414144,0.4090197752169583,0.700034715334259
15,GenMetS + covariates,0,0.15151515151515152,0.4191207853179684,0.700034715334259
16,GenMetS + covariates,0,0.16161616161616163,0.42922179541897854,0.700034715334259
17,GenMetS + covariates,0,0.17171717171717174,0.43932280551998865,0.700034715334259
18,GenMetS + covariates,0,0.18181818181818182,0.44942381562099876,0.700034715334259
19,GenMetS + covariates,0,0.19191919191919193,0.4595248257220088,0.700034715334259
20,GenMetS + covariates,0,0.20202020202020204,0.4647887323943662,0.700034715334259
21,GenMetS + covariates,0,0.21212121212121213,0.49395362071418414,0.700034715334259
22,GenMetS + covariates,0,0.22222222222222224,0.5057381324986959,0.700034715334259
23,GenMetS + covariates,0,0.23232323232323235,0.5175226442832077,0.700034715334259
24,GenMetS + covariates,0,0.24242424242424243,0.5293071560677195,0.700034715334259
25,GenMetS + covariates,0,0.25252525252525254,0.5410916678522313,0.700034715334259
26,GenMetS + covariates,0,0.26262626262626265,0.5528761796367431,0.700034715334259
27,GenMetS + covariates,0,0.27272727272727276,0.5646606914212549,0.700034715334259
28,GenMetS + covariates,0,0.2828282828282829,0.5764452032057666,0.700034715334259
29,GenMetS + covariates,0,0.29292929292929293,0.5882297149902784,0.700034715334259
30,GenMetS + covariates,0,0.30303030303030304,0.6000142267747902,0.700034715334259
31,GenMetS + covariates,0,0.31313131313131315,0.611798738559302,0.700034715334259
32,GenMetS + covariates,0,0.32323232323232326,0.6235832503438138,0.700034715334259
33,GenMetS + covariates,0,0.33333333333333337,0.6353677621283256,0.700034715334259
34,GenMetS + covariates,0,0.3434343434343435,0.647602788447859,0.700034715334259
35,GenMetS + covariates,0,0.3535353535353536,0.6602290510741216,0.700034715334259
36,GenMetS + covariates,0,0.36363636363636365,0.6728553137003841,0.700034715334259
37,GenMetS + covariates,0,0.37373737373737376,0.6835965286669512,0.700034715334259
38,GenMetS + covariates,0,0.38383838383838387,0.6936975387679614,0.700034715334259
39,GenMetS + covariates,0,0.393939393939394,0.7037985488689714,0.700034715334259
40,GenMetS + covariates,0,0.4040404040404041,0.7138995589699816,0.700034715334259
41,GenMetS + covariates,0,0.4141414141414142,0.7272490159814105,0.700034715334259
42,GenMetS + covariates,0,0.42424242424242425,0.7306160193484137,0.700034715334259
43,GenMetS + covariates,0,0.43434343434343436,0.7323943661971831,0.700034715334259
44,GenMetS + covariates,0,0.4444444444444445,0.7433489827856026,0.700034715334259
45,GenMetS + covariates,0,0.4545454545454546,0.7464788732394366,0.700034715334259
46,GenMetS + covariates,0,0.4646464646464647,0.7464788732394366,0.700034715334259
47,GenMetS + covariates,0,0.4747474747474748,0.7464788732394366,0.700034715334259
48,GenMetS + covariates,0,0.48484848484848486,0.7494664959453692,0.700034715334259
49,GenMetS + covariates,0,0.494949494949495,0.7535211267605634,0.700034715334259
50,GenMetS + covariates,0,0.5050505050505051,0.7746478873239436,0.700034715334259
51,GenMetS + covariates,0,0.5151515151515152,0.7816901408450704,0.700034715334259
52,GenMetS + covariates,0,0.5252525252525253,0.7827215820173566,0.700034715334259
53,GenMetS + covariates,0,0.5353535353535354,0.7852468345426091,0.700034715334259
54,GenMetS + covariates,0,0.5454545454545455,0.7877720870678617,0.700034715334259
55,GenMetS + covariates,0,0.5555555555555556,0.7918622848200313,0.700034715334259
56,GenMetS + covariates,0,0.5656565656565657,0.795774647887324,0.700034715334259
57,GenMetS + covariates,0,0.5757575757575758,0.8046663821311709,0.700034715334259
58,GenMetS + covariates,0,0.5858585858585859,0.8215013989661877,0.700034715334259
59,GenMetS + covariates,0,0.595959595959596,0.8309859154929577,0.700034715334259
60,GenMetS + covariates,0,0.6060606060606061,0.8309859154929577,0.700034715334259
61,GenMetS + covariates,0,0.6161616161616162,0.8309859154929577,0.700034715334259
62,GenMetS + covariates,0,0.6262626262626263,0.8309859154929577,0.700034715334259
63,GenMetS + covariates,0,0.6363636363636365,0.8405889884763125,0.700034715334259
64,GenMetS + covariates,0,0.6464646464646465,0.8506899985773225,0.700034715334259
