,model,bootstrap_iteration,calibration_slope
0,GenMetS + covariates,0,2.811982484971799
1,GenMetS + covariates,1,2.6932938662953196
2,GenMetS + covariates,2,2.6932938662953196
3,GenMetS + covariates,3,2.6932938662953196
4,GenMetS + covariates,4,2.8369917595102336
5,GenMetS + covariates,5,2.7818773814108475
6,GenMetS + covariates,6,2.8369917595102336
7,GenMetS + covariates,7,2.6932938662953196
8,GenMetS + covariates,8,2.500377834938271
9,GenMetS + covariates,9,2.677004014194528
10,GenMetS + covariates,10,2.79087518771123
11,GenMetS + covariates,11,2.6932938662953196
12,GenMetS + covariates,12,2.7337255006459986
13,GenMetS + covariates,13,2.7818773814108475
14,GenMetS + covariates,14,2.7337255006459986
15,GenMetS + covariates,15,2.797792766691866
16,GenMetS + covariates,16,2.7322050237386786
17,GenMetS + covariates,17,2.811982484971799
18,GenMetS + covariates,18,2.8369917595102336
19,GenMetS + covariates,19,2.7176841663462667
20,GenMetS + covariates,20,2.8103568124147578
21,GenMetS + covariates,21,2.7317627492858825
22,GenMetS + covariates,22,2.811982484971799
23,GenMetS + covariates,23,2.72806022291579
24,GenMetS + covariates,24,2.455763736433978
25,GenMetS + covariates,25,2.797792766691866
26,GenMetS + covariates,26,2.455763736433978
27,GenMetS + covariates,27,2.6932938662953196
28,GenMetS + covariates,28,2.638499463820554
29,GenMetS + covariates,29,2.455763736433978
30,GenMetS + covariates,30,2.797792766691866
31,GenMetS + covariates,31,2.6932938662953196
32,GenMetS + covariates,32,2.7045958718468945
33,GenMetS + covariates,33,2.6932938662953196
34,GenMetS + covariates,34,2.5028764529695224
35,GenMetS + covariates,35,2.797792766691866
36,GenMetS + covariates,36,2.7176841663462667
37,GenMetS + covariates,37,2.689508665540789
38,GenMetS + covariates,38,2.811982484971799
39,GenMetS + covariates,39,2.6932938662953196
40,GenMetS + covariates,40,2.6932938662953196
41,GenMetS + covariates,41,2.811982484971799
42,GenMetS + covariates,42,2.79087518771123
43,GenMetS + covariates,43,2.811982484971799
44,GenMetS + covariates,44,2.797792766691866
45,GenMetS + covariates,45,2.6932938662953196
46,GenMetS + covariates,46,2.6932938662953196
47,GenMetS + covariates,47,2.7818773814108475
48,GenMetS + covariates,48,2.7045958718468945
49,GenMetS + covariates,49,2.677004014194528
50,GenMetS + covariates,50,2.7045958718468945
51,GenMetS + covariates,51,2.6932938662953196
52,GenMetS + covariates,52,2.773938429777051
53,GenMetS + covariates,53,2.8369917595102336
54,GenMetS + covariates,54,2.7045958718468945
55,GenMetS + covariates,55,2.6932938662953196
56,GenMetS + covariates,56,2.455763736433978
57,GenMetS + covariates,57,2.677004014194528
58,GenMetS + covariates,58,2.87118661621825
59,GenMetS + covariates,59,2.6932938662953196
60,GenMetS + covariates,60,2.500377834938271
61,GenMetS + covariates,61,2.797792766691866
62,GenMetS + covariates,62,2.677004014194528
63,GenMetS + covariates,63,2.677004014194528
64,GenMetS + covariates,64,2.8103568124147578
65,GenMetS + covariates,65,2.773938429777051
66,GenMetS + covariates,66,2.7045958718468945
67,GenMetS + covariates,67,2.811982484971799
68,GenMetS + covariates,68,2.797792766691866
69,GenMetS + covariates,69,2.8680700685198417
70,GenMetS + covariates,70,2.797792766691866
71,GenMetS + covariates,71,2.7322050237386786
72,GenMetS + covariates,72,2.7045958718468945
73,GenMetS + covariates,73,2.7045958718468945
74,GenMetS + covariates,74,2.4529430879987126
75,GenMetS + covariates,75,2.7322050237386786
76,GenMetS + covariates,76,2.8103568124147578
77,GenMetS + covariates,77,2.6932938662953196
78,GenMetS + covariates,78,2.7045958718468945
79,GenMetS + covariates,79,2.5028764529695224
80,GenMetS + covariates,80,2.7818773814108475
81,GenMetS + covariates,81,2.8103568124147578
82,GenMetS + covariates,82,2.8103568124147578
83,GenMetS + covariates,83,2.72806022291579
84,GenMetS + covariates,84,2.677004014194528
85,GenMetS + covariates,85,2.41589331089917
86,GenMetS + covariates,86,2.6932938662953196
87,GenMetS + covariates,87,2.87118661621825
88,GenMetS + covariates,88,2.6932938662953196
89,GenMetS + covariates,89,2.7176841663462667
90,GenMetS + covariates,90,2.7696659108023742
91,GenMetS + covariates,91,2.7818773814108475
92,GenMetS + covariates,92,2.8369917595102336
93,GenMetS + covariates,93,2.8369917595102336
94,GenMetS + covariates,94,2.811982484971799
95,GenMetS + covariates,95,2.455763736433978
96,GenMetS + covariates,96,2.8103568124147578
97,GenMetS + covariates,97,2.500377834938271
98,GenMetS + covariates,98,2.7322050237386786
99,GenMetS + covariates,99,2.8407223731372953
100,GenMetS only,0,1.1304615576332468
101,GenMetS only,1,1.0836645591128524
102,GenMetS only,2,1.0836645591128524
103,GenMetS only,3,1.4028906195499249
104,GenMetS only,4,1.0836645591128524
105,GenMetS only,5,1.1304615576332468
106,GenMetS only,6,1.2718228181969775
107,GenMetS only,7,1.1338352554275632
108,GenMetS only,8,1.0836645591128524
109,GenMetS only,9,1.1338352554275632
110,GenMetS only,10,1.0836645591128524
111,GenMetS only,11,1.2718228181969775
112,GenMetS only,12,1.0836645591128524
113,GenMetS only,13,1.2718228181969775
114,GenMetS only,14,1.1338352554275632
115,GenMetS only,15,1.2718228181969775
116,GenMetS only,16,1.0836645591128524
117,GenMetS only,17,1.1304615576332468
