,model,bootstrap_iteration,discrimination_slope
0,GenMetS + covariates,0,0.085751206
1,GenMetS + covariates,1,0.120709
2,GenMetS + covariates,2,0.120709
3,GenMetS + covariates,3,0.120709
4,GenMetS + covariates,4,0.10546562
5,GenMetS + covariates,5,0.11985764
6,GenMetS + covariates,6,0.10546562
7,GenMetS + covariates,7,0.120709
8,GenMetS + covariates,8,0.047932565
9,GenMetS + covariates,9,0.13607156
10,GenMetS + covariates,10,0.08289334
11,GenMetS + covariates,11,0.120709
12,GenMetS + covariates,12,0.07714179
13,GenMetS + covariates,13,0.11985764
14,GenMetS + covariates,14,0.07714179
15,GenMetS + covariates,15,0.08327538
16,GenMetS + covariates,16,0.07716647
17,GenMetS + covariates,17,0.085751206
18,GenMetS + covariates,18,0.10546562
19,GenMetS + covariates,19,0.11613068
20,GenMetS + covariates,20,0.083458275
21,GenMetS + covariates,21,0.07714406
22,GenMetS + covariates,22,0.085751206
23,GenMetS + covariates,23,0.07677227
24,GenMetS + covariates,24,0.04658431
25,GenMetS + covariates,25,0.08327538
26,GenMetS + covariates,26,0.04658431
27,GenMetS + covariates,27,0.120709
28,GenMetS + covariates,28,0.14136493
29,GenMetS + covariates,29,0.04658431
30,GenMetS + covariates,30,0.08327538
31,GenMetS + covariates,31,0.120709
32,GenMetS + covariates,32,0.116564274
33,GenMetS + covariates,33,0.120709
34,GenMetS + covariates,34,0.048000038
35,GenMetS + covariates,35,0.08327538
36,GenMetS + covariates,36,0.11613068
37,GenMetS + covariates,37,0.1366246
38,GenMetS + covariates,38,0.085751206
39,GenMetS + covariates,39,0.120709
40,GenMetS + covariates,40,0.120709
41,GenMetS + covariates,41,0.085751206
42,GenMetS + covariates,42,0.08289334
43,GenMetS + covariates,43,0.085751206
44,GenMetS + covariates,44,0.08327538
45,GenMetS + covariates,45,0.120709
46,GenMetS + covariates,46,0.120709
47,GenMetS + covariates,47,0.11985764
48,GenMetS + covariates,48,0.116564274
49,GenMetS + covariates,49,0.13607156
50,GenMetS + covariates,50,0.116564274
51,GenMetS + covariates,51,0.120709
52,GenMetS + covariates,52,0.11950156
53,GenMetS + covariates,53,0.10546562
54,GenMetS + covariates,54,0.116564274
55,GenMetS + covariates,55,0.120709
56,GenMetS + covariates,56,0.04658431
57,GenMetS + covariates,57,0.13607156
58,GenMetS + covariates,58,0.08637571
59,GenMetS + covariates,59,0.120709
60,GenMetS + covariates,60,0.047932565
61,GenMetS + covariates,61,0.08327538
62,GenMetS + covariates,62,0.13607156
63,GenMetS + covariates,63,0.13607156
64,GenMetS + covariates,64,0.083458275
65,GenMetS + covariates,65,0.11950156
66,GenMetS + covariates,66,0.116564274
67,GenMetS + covariates,67,0.085751206
68,GenMetS + covariates,68,0.08327538
69,GenMetS + covariates,69,0.08658442
70,GenMetS + covariates,70,0.08327538
71,GenMetS + covariates,71,0.07716647
72,GenMetS + covariates,72,0.116564274
73,GenMetS + covariates,73,0.116564274
74,GenMetS + covariates,74,0.046527416
75,GenMetS + covariates,75,0.07716647
76,GenMetS + covariates,76,0.083458275
77,GenMetS + covariates,77,0.120709
78,GenMetS + covariates,78,0.116564274
79,GenMetS + covariates,79,0.048000038
80,GenMetS + covariates,80,0.11985764
81,GenMetS + covariates,81,0.083458275
82,GenMetS + covariates,82,0.083458275
83,GenMetS + covariates,83,0.07677227
84,GenMetS + covariates,84,0.13607156
85,GenMetS + covariates,85,0.046210706
86,GenMetS + covariates,86,0.120709
87,GenMetS + covariates,87,0.08637571
88,GenMetS + covariates,88,0.120709
89,GenMetS + covariates,89,0.11613068
90,GenMetS + covariates,90,0.11935675
91,GenMetS + covariates,91,0.11985764
92,GenMetS + covariates,92,0.10546562
93,GenMetS + covariates,93,0.10546562
94,GenMetS + covariates,94,0.085751206
95,GenMetS + covariates,95,0.04658431
96,GenMetS + covariates,96,0.083458275
97,GenMetS + covariates,97,0.047932565
