,model,bootstrap_iteration,feature,feature_importance
0,GenMetS + covariates,0,Age,0.44101448344805755
1,GenMetS + covariates,0,GenMetS,0.1320254613226197
2,GenMetS + covariates,0,PhysicalActivity,0.027163279888541524
3,GenMetS + covariates,0,SocialEconomicalStatus,0.019757598316428916
4,GenMetS + covariates,0,Sleephour,0.019377414971412984
5,GenMetS + covariates,0,TVhour,0.0
6,GenMetS + covariates,0,Education,0.0
7,GenMetS + covariates,1,Age,0.6390259695873836
8,GenMetS + covariates,1,GenMetS,0.19752374299090253
9,GenMetS + covariates,1,SocialEconomicalStatus,0.06606316121216387
10,GenMetS + covariates,1,PhysicalActivity,0.046353814485056495
11,GenMetS + covariates,1,Sleephour,0.022304231094550535
12,GenMetS + covariates,1,TVhour,0.008377811005142257
13,GenMetS + covariates,1,Education,0.0
14,GenMetS + covariates,2,Age,0.6390259695873836
15,GenMetS + covariates,2,GenMetS,0.19752374299090253
16,GenMetS + covariates,2,SocialEconomicalStatus,0.06606316121216387
17,GenMetS + covariates,2,PhysicalActivity,0.046353814485056495
18,GenMetS + covariates,2,Sleephour,0.022304231094550535
19,GenMetS + covariates,2,TVhour,0.008377811005142257
20,GenMetS + covariates,2,Education,0.0
21,GenMetS + covariates,3,Age,0.6390259695873836
22,GenMetS + covariates,3,GenMetS,0.19752374299090253
23,GenMetS + covariates,3,SocialEconomicalStatus,0.06606316121216387
24,GenMetS + covariates,3,PhysicalActivity,0.046353814485056495
25,GenMetS + covariates,3,Sleephour,0.022304231094550535
26,GenMetS + covariates,3,TVhour,0.008377811005142257
27,GenMetS + covariates,3,Education,0.0
28,GenMetS + covariates,4,Age,0.5595167203181959
29,GenMetS + covariates,4,GenMetS,0.19769745684373072
30,GenMetS + covariates,4,PhysicalActivity,0.066229478760137
31,GenMetS + covariates,4,TVhour,0.03246074238582187
32,GenMetS + covariates,4,SocialEconomicalStatus,0.027190102334855713
33,GenMetS + covariates,4,Education,0.01250158884155917
34,GenMetS + covariates,4,Sleephour,0.0
35,GenMetS + covariates,5,Age,0.6295455856827535
36,GenMetS + covariates,5,GenMetS,0.20050447852940634
37,GenMetS + covariates,5,PhysicalActivity,0.07215905023259964
38,GenMetS + covariates,5,SocialEconomicalStatus,0.06613411439326923
39,GenMetS + covariates,5,TVhour,0.04082748289672577
40,GenMetS + covariates,5,Education,0.010672867026567
41,GenMetS + covariates,5,Sleephour,0.009200228403099413
42,GenMetS + covariates,6,Age,0.5595167203181959
43,GenMetS + covariates,6,GenMetS,0.19769745684373072
44,GenMetS + covariates,6,PhysicalActivity,0.066229478760137
45,GenMetS + covariates,6,TVhour,0.03246074238582187
46,GenMetS + covariates,6,SocialEconomicalStatus,0.027190102334855713
47,GenMetS + covariates,6,Education,0.01250158884155917
48,GenMetS + covariates,6,Sleephour,0.0
