,model,bootstrap_iteration,fpr,tpr,auc
0,GenMetS + covariates,0,0.0,,0.7030289727831431
1,GenMetS + covariates,0,0.010101010101010102,0.014925373134328358,0.7030289727831431
2,GenMetS + covariates,0,0.020202020202020204,0.04477611940298507,0.7030289727831431
3,GenMetS + covariates,0,0.030303030303030304,0.08955223880597014,0.7030289727831431
4,GenMetS + covariates,0,0.04040404040404041,0.08955223880597014,0.7030289727831431
5,GenMetS + covariates,0,0.05050505050505051,0.13432835820895522,0.7030289727831431
6,GenMetS + covariates,0,0.06060606060606061,0.14925373134328357,0.7030289727831431
7,GenMetS + covariates,0,0.07070707070707072,0.14925373134328357,0.7030289727831431
8,GenMetS + covariates,0,0.08080808080808081,0.22388059701492538,0.7030289727831431
9,GenMetS + covariates,0,0.09090909090909091,0.2537313432835821,0.7030289727831431
10,GenMetS + covariates,0,0.10101010101010102,0.2537313432835821,0.7030289727831431
11,GenMetS + covariates,0,0.11111111111111112,0.2537313432835821,0.7030289727831431
12,GenMetS + covariates,0,0.12121212121212122,0.29850746268656714,0.7030289727831431
13,GenMetS + covariates,0,0.13131313131313133,0.29850746268656714,0.7030289727831431
14,GenMetS + covariates,0,0.14141414141414144,0.3283582089552239,0.7030289727831431
15,GenMetS + covariates,0,0.15151515151515152,0.34328358208955223,0.7030289727831431
16,GenMetS + covariates,0,0.16161616161616163,0.34328358208955223,0.7030289727831431
17,GenMetS + covariates,0,0.17171717171717174,0.34328358208955223,0.7030289727831431
18,GenMetS + covariates,0,0.18181818181818182,0.34328358208955223,0.7030289727831431
19,GenMetS + covariates,0,0.19191919191919193,0.373134328358209,0.7030289727831431
20,GenMetS + covariates,0,0.20202020202020204,0.373134328358209,0.7030289727831431
21,GenMetS + covariates,0,0.21212121212121213,0.43283582089552236,0.7030289727831431
22,GenMetS + covariates,0,0.22222222222222224,0.43283582089552236,0.7030289727831431
23,GenMetS + covariates,0,0.23232323232323235,0.43283582089552236,0.7030289727831431
24,GenMetS + covariates,0,0.24242424242424243,0.44776119402985076,0.7030289727831431
25,GenMetS + covariates,0,0.25252525252525254,0.5074626865671642,0.7030289727831431
26,GenMetS + covariates,0,0.26262626262626265,0.5074626865671642,0.7030289727831431
27,GenMetS + covariates,0,0.27272727272727276,0.5671641791044776,0.7030289727831431
28,GenMetS + covariates,0,0.2828282828282829,0.582089552238806,0.7030289727831431
29,GenMetS + covariates,0,0.29292929292929293,0.582089552238806,0.7030289727831431
30,GenMetS + covariates,0,0.30303030303030304,0.582089552238806,0.7030289727831431
31,GenMetS + covariates,0,0.31313131313131315,0.6119402985074627,0.7030289727831431
32,GenMetS + covariates,0,0.32323232323232326,0.6119402985074627,0.7030289727831431
33,GenMetS + covariates,0,0.33333333333333337,0.6268656716417911,0.7030289727831431
