,model,bootstrap_iteration,c_index
0,GenMetS + covariates,0,0.7030289727831431
1,GenMetS + covariates,1,0.7299165935030729
2,GenMetS + covariates,2,0.7587796312554873
3,GenMetS + covariates,3,0.7449517120280948
4,GenMetS + covariates,4,0.6625329236172081
5,GenMetS + covariates,5,0.7082967515364355
6,GenMetS + covariates,6,0.7247585601404741
7,GenMetS + covariates,7,0.6916154521510096
8,GenMetS + covariates,8,0.6754828797190519
9,GenMetS + covariates,9,0.7562554872695347
10,GenMetS + covariates,10,0.8341747146619842
11,GenMetS + covariates,11,0.6568261633011413
12,GenMetS + covariates,12,0.7068700614574188
13,GenMetS + covariates,13,0.6723002633889377
14,GenMetS + covariates,14,0.6795434591747147
15,GenMetS + covariates,15,0.7216856892010536
16,GenMetS + covariates,16,0.7519754170324846
17,GenMetS + covariates,17,0.7220149253731343
18,GenMetS + covariates,18,0.7791922739244952
19,GenMetS + covariates,19,0.7532923617208077
20,GenMetS + covariates,20,0.7220149253731343
21,GenMetS + covariates,21,0.6301580333625988
22,GenMetS + covariates,22,0.7279411764705882
23,GenMetS + covariates,23,0.707089552238806
24,GenMetS + covariates,24,0.7385864793678666
25,GenMetS + covariates,25,0.7242098331870062
26,GenMetS + covariates,26,0.7146619841966637
27,GenMetS + covariates,27,0.6826163301141353
28,GenMetS + covariates,28,0.6941395961369623
29,GenMetS + covariates,29,0.6650570676031606
30,GenMetS + covariates,30,0.7291483757682178
31,GenMetS + covariates,31,0.6108428446005267
32,GenMetS + covariates,32,0.7876426690079017
33,GenMetS + covariates,33,0.6310359964881475
34,GenMetS + covariates,34,0.7298068481123793
35,GenMetS + covariates,35,0.7151009657594382
36,GenMetS + covariates,36,0.7346356453028973
37,GenMetS + covariates,37,0.7301360842844601
38,GenMetS + covariates,38,0.8102502194907814
39,GenMetS + covariates,39,0.7385864793678666
40,GenMetS + covariates,40,0.685908691834943
41,GenMetS + covariates,41,0.6609964881474978
42,GenMetS + covariates,42,0.7636084284460053
43,GenMetS + covariates,43,0.6766900790166813
44,GenMetS + covariates,44,0.7101624231782265
45,GenMetS + covariates,45,0.7298068481123793
46,GenMetS + covariates,46,0.723990342405619
47,GenMetS + covariates,47,0.7439640035118525
48,GenMetS + covariates,48,0.7238805970149254
49,GenMetS + covariates,49,0.690188762071993
50,GenMetS + covariates,50,0.6569359086918349
51,GenMetS + covariates,51,0.7215759438103599
52,GenMetS + covariates,52,0.7251975417032485
53,GenMetS + covariates,53,0.7377085162423178
54,GenMetS + covariates,54,0.7642669007901668
55,GenMetS + covariates,55,0.7302458296751536
56,GenMetS + covariates,56,0.7011633011413521
57,GenMetS + covariates,57,0.6899692712906058
58,GenMetS + covariates,58,0.6713125548726954
59,GenMetS + covariates,59,0.7899473222124671
60,GenMetS + covariates,60,0.7616330114135206
61,GenMetS + covariates,61,0.6450834064969271
62,GenMetS + covariates,62,0.7261852502194908
63,GenMetS + covariates,63,0.670873573309921
64,GenMetS + covariates,64,0.6392669007901668
65,GenMetS + covariates,65,0.7482440737489026
66,GenMetS + covariates,66,0.6894205443371378
67,GenMetS + covariates,67,0.6977611940298507
