,model,bootstrap_iteration,calibration_slope
0,GenMetS + covariates,0,2.0797826694385946
1,GenMetS + covariates,1,0.7610437133819374
2,GenMetS + covariates,2,2.5272548297688524
3,GenMetS + covariates,3,2.5412648725184384
4,GenMetS + covariates,4,1.2311387745333757
5,GenMetS + covariates,5,1.405224413134683
6,GenMetS + covariates,6,2.215974619678362
7,GenMetS + covariates,7,1.8341686195572868
8,GenMetS + covariates,8,1.5457593588384226
9,GenMetS + covariates,9,2.2633684608326496
10,GenMetS + covariates,10,3.2891747811136973
11,GenMetS + covariates,11,1.5697536744383644
12,GenMetS + covariates,12,1.9970348728118301
13,GenMetS + covariates,13,1.772084404287245
14,GenMetS + covariates,14,1.7954163789268673
15,GenMetS + covariates,15,2.1904874553553206
16,GenMetS + covariates,16,2.6296753998274403
17,GenMetS + covariates,17,2.203214971642707
18,GenMetS + covariates,18,2.5667774186611583
19,GenMetS + covariates,19,1.8732411395995903
20,GenMetS + covariates,20,2.260746798538216
21,GenMetS + covariates,21,1.3607730035532644
22,GenMetS + covariates,22,1.9578158043673
23,GenMetS + covariates,23,2.024219340214457
24,GenMetS + covariates,24,2.278321747397116
25,GenMetS + covariates,25,2.1501495268551083
26,GenMetS + covariates,26,2.2440593677535077
27,GenMetS + covariates,27,1.9916095927805335
28,GenMetS + covariates,28,1.490454990628006
29,GenMetS + covariates,29,1.3718701134575741
30,GenMetS + covariates,30,1.9604976132422043
31,GenMetS + covariates,31,0.9894779435981031
32,GenMetS + covariates,32,2.396161007497825
33,GenMetS + covariates,33,0.8994402311697421
34,GenMetS + covariates,34,1.593585681128067
35,GenMetS + covariates,35,1.902866369674062
36,GenMetS + covariates,36,1.7411495020843146
37,GenMetS + covariates,37,2.338907128966107
38,GenMetS + covariates,38,3.119959534386899
39,GenMetS + covariates,39,2.428999912995635
40,GenMetS + covariates,40,1.989751795962485
41,GenMetS + covariates,41,1.3114063288943956
42,GenMetS + covariates,42,2.7318384983090773
43,GenMetS + covariates,43,1.5855833314839143
44,GenMetS + covariates,44,1.9366409305506116
45,GenMetS + covariates,45,1.9620786899730525
46,GenMetS + covariates,46,1.9042349341471634
47,GenMetS + covariates,47,2.221474110506429
48,GenMetS + covariates,48,2.050673417802794
49,GenMetS + covariates,49,1.7148229453943766
50,GenMetS + covariates,50,1.5948701466623194
51,GenMetS + covariates,51,1.9903628493263563
52,GenMetS + covariates,52,2.1496382663380555
53,GenMetS + covariates,53,1.9602300881295156
54,GenMetS + covariates,54,2.3106258096061034
55,GenMetS + covariates,55,0.7326450159164343
56,GenMetS + covariates,56,1.7278253973595064
57,GenMetS + covariates,57,1.4414592974230505
58,GenMetS + covariates,58,1.8240474883845144
59,GenMetS + covariates,59,2.740532896685742
60,GenMetS + covariates,60,2.6606635891600345
61,GenMetS + covariates,61,0.4631210198546216
62,GenMetS + covariates,62,2.345443984070663
63,GenMetS + covariates,63,1.67218321956524
64,GenMetS + covariates,64,1.599938141988701
65,GenMetS + covariates,65,2.6756069404504856
66,GenMetS + covariates,66,1.8039619700175478
67,GenMetS + covariates,67,2.0216600302106125
68,GenMetS + covariates,68,2.0216495017130756
69,GenMetS + covariates,69,0.989858720162928
70,GenMetS + covariates,70,2.3083328740743982
71,GenMetS + covariates,71,0.7917780582723595
72,GenMetS + covariates,72,1.9328254589933132
73,GenMetS + covariates,73,1.884584455297195
74,GenMetS + covariates,74,1.2766241450252438
75,GenMetS + covariates,75,2.0369460096115457
76,GenMetS + covariates,76,1.2267570288226106
77,GenMetS + covariates,77,2.3240945940997593
78,GenMetS + covariates,78,2.780834570322054
79,GenMetS + covariates,79,1.9070812299461115
80,GenMetS + covariates,80,2.254127110613294
81,GenMetS + covariates,81,1.6698729777115375
82,GenMetS + covariates,82,1.7984174280649334
83,GenMetS + covariates,83,2.290389392125542
84,GenMetS + covariates,84,2.4174067274818007
85,GenMetS + covariates,85,1.8302229158541197
86,GenMetS + covariates,86,1.9225419463761109
87,GenMetS + covariates,87,1.775895222925424
88,GenMetS + covariates,88,1.838546523788901
89,GenMetS + covariates,89,2.0866698999075473
90,GenMetS + covariates,90,1.3890538908471979
91,GenMetS + covariates,91,1.8637021434040142
92,GenMetS + covariates,92,2.2900801048085535
93,GenMetS + covariates,93,1.7892207726109222
94,GenMetS + covariates,94,2.3588603998428113
95,GenMetS + covariates,95,1.844061623838454
96,GenMetS + covariates,96,1.0371369653685465
97,GenMetS + covariates,97,0.9566398653879313
98,GenMetS + covariates,98,1.7219688200828698
99,GenMetS + covariates,99,1.6641745289342214
100,GenMetS only,0,1.3602893655012607
101,GenMetS only,1,0.6403027364941852
102,GenMetS only,2,0.4899442067216768
103,GenMetS only,3,0.7871134709293469
104,GenMetS only,4,0.9524904516022779
105,GenMetS only,5,0.4796377814483829
106,GenMetS only,6,1.0223722562467927
