,model,bootstrap_iteration,discrimination_slope
0,GenMetS + covariates,0,0.12673277
1,GenMetS + covariates,1,0.023177534
2,GenMetS + covariates,2,0.119650334
3,GenMetS + covariates,3,0.17637005
4,GenMetS + covariates,4,0.050808936
5,GenMetS + covariates,5,0.047555625
6,GenMetS + covariates,6,0.106324255
7,GenMetS + covariates,7,0.08008978
8,GenMetS + covariates,8,0.059803545
9,GenMetS + covariates,9,0.10532874
10,GenMetS + covariates,10,0.1584633
11,GenMetS + covariates,11,0.077685624
12,GenMetS + covariates,12,0.08424464
13,GenMetS + covariates,13,0.07855594
14,GenMetS + covariates,14,0.1514642
15,GenMetS + covariates,15,0.096625894
16,GenMetS + covariates,16,0.15495676
17,GenMetS + covariates,17,0.09295049
18,GenMetS + covariates,18,0.10827735
19,GenMetS + covariates,19,0.06639227
20,GenMetS + covariates,20,0.13526413
21,GenMetS + covariates,21,0.07847366
22,GenMetS + covariates,22,0.07763308
23,GenMetS + covariates,23,0.08520803
24,GenMetS + covariates,24,0.11991307
25,GenMetS + covariates,25,0.08946055
26,GenMetS + covariates,26,0.113702685
27,GenMetS + covariates,27,0.11933449
28,GenMetS + covariates,28,0.05139786
29,GenMetS + covariates,29,0.05304876
30,GenMetS + covariates,30,0.08103183
31,GenMetS + covariates,31,0.065210104
32,GenMetS + covariates,32,0.091365784
33,GenMetS + covariates,33,0.03169933
34,GenMetS + covariates,34,0.0558241
35,GenMetS + covariates,35,0.07617697
36,GenMetS + covariates,36,0.059830695
37,GenMetS + covariates,37,0.1272923
38,GenMetS + covariates,38,0.1606543
39,GenMetS + covariates,39,0.1431734
40,GenMetS + covariates,40,0.12295622
41,GenMetS + covariates,41,0.052814126
42,GenMetS + covariates,42,0.1493687
43,GenMetS + covariates,43,0.06398687
44,GenMetS + covariates,44,0.079140455
45,GenMetS + covariates,45,0.08105537
46,GenMetS + covariates,46,0.07515979
47,GenMetS + covariates,47,0.090020716
48,GenMetS + covariates,48,0.08030835
49,GenMetS + covariates,49,0.06843573
50,GenMetS + covariates,50,0.091477275
51,GenMetS + covariates,51,0.08138901
52,GenMetS + covariates,52,0.09407276
53,GenMetS + covariates,53,0.07741758
54,GenMetS + covariates,54,0.09993458
55,GenMetS + covariates,55,0.022307605
56,GenMetS + covariates,56,0.06297937
57,GenMetS + covariates,57,0.04942155
58,GenMetS + covariates,58,0.09412092
59,GenMetS + covariates,59,0.11544311
60,GenMetS + covariates,60,0.14647484
61,GenMetS + covariates,61,0.014136136
62,GenMetS + covariates,62,0.123799056
63,GenMetS + covariates,63,0.068033904
64,GenMetS + covariates,64,0.077506214
65,GenMetS + covariates,65,0.1484501
66,GenMetS + covariates,66,0.09537983
67,GenMetS + covariates,67,0.11355558
68,GenMetS + covariates,68,0.08557701
69,GenMetS + covariates,69,0.044144064
70,GenMetS + covariates,70,0.12545061
71,GenMetS + covariates,71,0.027915716
72,GenMetS + covariates,72,0.13528451
73,GenMetS + covariates,73,0.10391843
74,GenMetS + covariates,74,0.052446157
75,GenMetS + covariates,75,0.1336112
76,GenMetS + covariates,76,0.0416992
77,GenMetS + covariates,77,0.15244362
78,GenMetS + covariates,78,0.10691583
79,GenMetS + covariates,79,0.113655806
80,GenMetS + covariates,80,0.1463773
81,GenMetS + covariates,81,0.06575921
82,GenMetS + covariates,82,0.07363981
83,GenMetS + covariates,83,0.09609601
84,GenMetS + covariates,84,0.18009943
85,GenMetS + covariates,85,0.13542777
86,GenMetS + covariates,86,0.08290821
87,GenMetS + covariates,87,0.07325247
88,GenMetS + covariates,88,0.07189393
89,GenMetS + covariates,89,0.1251337
90,GenMetS + covariates,90,0.050569236
91,GenMetS + covariates,91,0.06793228
92,GenMetS + covariates,92,0.09497556
93,GenMetS + covariates,93,0.07113621
94,GenMetS + covariates,94,0.10393593
95,GenMetS + covariates,95,0.15030268
96,GenMetS + covariates,96,0.035124242
97,GenMetS + covariates,97,0.041071236
98,GenMetS + covariates,98,0.07073158
99,GenMetS + covariates,99,0.073785186
100,GenMetS only,0,0.051518947
101,GenMetS only,1,0.020513505
102,GenMetS only,2,0.016140938
103,GenMetS only,3,0.028050572
104,GenMetS only,4,0.033365637
105,GenMetS only,5,0.01618743
106,GenMetS only,6,0.043020725
107,GenMetS only,7,0.025138319
108,GenMetS only,8,0.033657044
109,GenMetS only,9,0.015818536
110,GenMetS only,10,0.058862805
111,GenMetS only,11,0.026831806
112,GenMetS only,12,0.046536624
113,GenMetS only,13,0.015627444
114,GenMetS only,14,0.03129694
115,GenMetS only,15,0.018470317
116,GenMetS only,16,0.03083548
117,GenMetS only,17,0.02503562
118,GenMetS only,18,0.031707734
119,GenMetS only,19,0.034524232
120,GenMetS only,20,0.042447537
121,GenMetS only,21,0.031944305
122,GenMetS only,22,0.018101752
123,GenMetS only,23,0.052191705
124,GenMetS only,24,0.03564033
125,GenMetS only,25,0.014167428
126,GenMetS only,26,0.032565206
127,GenMetS only,27,0.02763769
128,GenMetS only,28,0.017497063
129,GenMetS only,29,0.015064687
130,GenMetS only,30,0.043319613
131,GenMetS only,31,0.0016366839
132,GenMetS only,32,0.037216395
133,GenMetS only,33,0.016358972
134,GenMetS only,34,0.043560058
135,GenMetS only,35,0.043734133
136,GenMetS only,36,0.016041607
137,GenMetS only,37,0.029906362
138,GenMetS only,38,0.05113703
139,GenMetS only,39,0.009371728
140,GenMetS only,40,0.03932938
141,GenMetS only,41,0.030223161
142,GenMetS only,42,0.04327005
143,GenMetS only,43,0.030263335
144,GenMetS only,44,0.050911427
145,GenMetS only,45,0.012549698
146,GenMetS only,46,0.026893526
147,GenMetS only,47,0.039417237
148,GenMetS only,48,0.024421006
149,GenMetS only,49,0.027227163
150,GenMetS only,50,0.018179417
151,GenMetS only,51,0.031727433
152,GenMetS only,52,0.009835273
153,GenMetS only,53,0.035897434
154,GenMetS only,54,0.025235295
155,GenMetS only,55,0.045527846
156,GenMetS only,56,0.037695438
157,GenMetS only,57,0.033156782
158,GenMetS only,58,0.01879397
159,GenMetS only,59,0.0242652
160,GenMetS only,60,0.05663532
