,model,bootstrap_iteration,feature,feature_importance
0,GenMetS + covariates,0,Age,0.6328374602817459
1,GenMetS + covariates,0,GenMetS,0.19399278266169137
2,GenMetS + covariates,0,TVhour,0.12094210856663126
3,GenMetS + covariates,0,Education,0.10094998360514916
4,GenMetS + covariates,0,SocialEconomicalStatus,0.0757256831430864
5,GenMetS + covariates,0,PhysicalActivity,0.07000542954966012
6,GenMetS + covariates,0,Sleephour,0.021200995869589595
7,GenMetS + covariates,1,Age,0.07936413363253488
8,GenMetS + covariates,1,Education,0.03173721476578742
9,GenMetS + covariates,1,TVhour,0.026470358779308947
10,GenMetS + covariates,1,GenMetS,0.024088850465499627
11,GenMetS + covariates,1,SocialEconomicalStatus,0.01630018756474818
12,GenMetS + covariates,1,PhysicalActivity,0.011652549133256649
13,GenMetS + covariates,1,Sleephour,0.0
14,GenMetS + covariates,2,Age,0.38203653744111427
15,GenMetS + covariates,2,GenMetS,0.23738506080762103
16,GenMetS + covariates,2,SocialEconomicalStatus,0.14251670414540493
17,GenMetS + covariates,2,Education,0.02095429542688308
18,GenMetS + covariates,2,Sleephour,0.015040232719784528
19,GenMetS + covariates,2,TVhour,0.008854720100001608
20,GenMetS + covariates,2,PhysicalActivity,0.003960424414387455
21,GenMetS + covariates,3,Age,0.5878778796137862
22,GenMetS + covariates,3,GenMetS,0.2732606753419947
23,GenMetS + covariates,3,SocialEconomicalStatus,0.2681872086493231
24,GenMetS + covariates,3,PhysicalActivity,0.10802808552780792
25,GenMetS + covariates,3,TVhour,0.10550747157340111
26,GenMetS + covariates,3,Education,0.06592338568228298
27,GenMetS + covariates,3,Sleephour,0.028285183859230168
28,GenMetS + covariates,4,Age,0.39644637029672025
29,GenMetS + covariates,4,TVhour,0.08341571891823506
30,GenMetS + covariates,4,GenMetS,0.03697983053073079
31,GenMetS + covariates,4,PhysicalActivity,0.012462903760477075
32,GenMetS + covariates,4,Sleephour,0.011245920705574522
33,GenMetS + covariates,4,SocialEconomicalStatus,0.009786213917519762
34,GenMetS + covariates,4,Education,0.0
35,GenMetS + covariates,5,Age,0.18781336321378306
36,GenMetS + covariates,5,GenMetS,0.0676826592664303
37,GenMetS + covariates,5,SocialEconomicalStatus,0.05407463869804308
38,GenMetS + covariates,5,TVhour,0.05031648162484201
39,GenMetS + covariates,5,Education,0.011164752089935871
40,GenMetS + covariates,5,PhysicalActivity,0.003467572399484065
41,GenMetS + covariates,5,Sleephour,0.0020779924988056776
42,GenMetS + covariates,6,Age,0.4070051318020731
43,GenMetS + covariates,6,GenMetS,0.20500339097529643
44,GenMetS + covariates,6,Education,0.09910069650646167
45,GenMetS + covariates,6,TVhour,0.06751096390677545
46,GenMetS + covariates,6,SocialEconomicalStatus,0.06272554990097329
47,GenMetS + covariates,6,PhysicalActivity,0.02055364198334239
48,GenMetS + covariates,6,Sleephour,0.0
49,GenMetS + covariates,7,Age,0.3325631951754223
50,GenMetS + covariates,7,SocialEconomicalStatus,0.1354377949435891
51,GenMetS + covariates,7,GenMetS,0.09017470858707868
52,GenMetS + covariates,7,TVhour,0.05841157937885897
53,GenMetS + covariates,7,Education,0.01034550258248216
54,GenMetS + covariates,7,PhysicalActivity,0.00881228725761509
55,GenMetS + covariates,7,Sleephour,0.0
56,GenMetS + covariates,8,Age,0.2923464078820414
57,GenMetS + covariates,8,GenMetS,0.13877043144703255
58,GenMetS + covariates,8,SocialEconomicalStatus,0.05320928494682261
59,GenMetS + covariates,8,PhysicalActivity,0.013409627051851555
60,GenMetS + covariates,8,Education,0.004372196002621895
61,GenMetS + covariates,8,Sleephour,0.0012657229605786229
62,GenMetS + covariates,8,TVhour,0.0010546942942396358
63,GenMetS + covariates,9,Age,0.4423674803149534
64,GenMetS + covariates,9,SocialEconomicalStatus,0.12111926988086713
65,GenMetS + covariates,9,GenMetS,0.0740544396150702
66,GenMetS + covariates,9,Education,0.04364210412920349
67,GenMetS + covariates,9,PhysicalActivity,0.005749856472877716
68,GenMetS + covariates,9,TVhour,0.004214724880953627
69,GenMetS + covariates,9,Sleephour,0.0036918300701029344
70,GenMetS + covariates,10,Age,0.3893625526199189
71,GenMetS + covariates,10,GenMetS,0.25363882824447403
72,GenMetS + covariates,10,TVhour,0.1304662194825984
73,GenMetS + covariates,10,SocialEconomicalStatus,0.11295397277424735
74,GenMetS + covariates,10,Education,0.04028060223162172
75,GenMetS + covariates,10,PhysicalActivity,0.021668987803989015
76,GenMetS + covariates,10,Sleephour,0.0
77,GenMetS + covariates,11,Age,0.3894642453911125
78,GenMetS + covariates,11,SocialEconomicalStatus,0.16158881335622738
79,GenMetS + covariates,11,GenMetS,0.1212296097394492
80,GenMetS + covariates,11,TVhour,0.09702455426807757
81,GenMetS + covariates,11,PhysicalActivity,0.045973301862263075
82,GenMetS + covariates,11,Education,0.04402170077049068
83,GenMetS + covariates,11,Sleephour,0.0
84,GenMetS + covariates,12,Age,0.3887742534224807
85,GenMetS + covariates,12,GenMetS,0.09847043432146997
86,GenMetS + covariates,12,SocialEconomicalStatus,0.07741596838359342
87,GenMetS + covariates,12,Sleephour,0.017493415846178955
88,GenMetS + covariates,12,Education,0.014800720319341591
89,GenMetS + covariates,12,TVhour,0.002228245345530685
90,GenMetS + covariates,12,PhysicalActivity,0.0006972291748280878
91,GenMetS + covariates,13,Age,0.353540081289226
92,GenMetS + covariates,13,SocialEconomicalStatus,0.15205356760686098
93,GenMetS + covariates,13,PhysicalActivity,0.05301443044849912
94,GenMetS + covariates,13,GenMetS,0.03774593463377096
95,GenMetS + covariates,13,Sleephour,0.03237964455076467
96,GenMetS + covariates,13,TVhour,0.021352428007043053
97,GenMetS + covariates,13,Education,0.0
98,GenMetS + covariates,14,Age,0.6982066286295583
99,GenMetS + covariates,14,GenMetS,0.4452898767746432
100,GenMetS + covariates,14,TVhour,0.2079693246766132
101,GenMetS + covariates,14,SocialEconomicalStatus,0.17537661084360268
102,GenMetS + covariates,14,Sleephour,0.07283118319966725
103,GenMetS + covariates,14,PhysicalActivity,0.06704449551304181
104,GenMetS + covariates,14,Education,0.05757163438904617
105,GenMetS + covariates,15,Age,0.30839609682939384
106,GenMetS + covariates,15,GenMetS,0.16138971645081485
107,GenMetS + covariates,15,SocialEconomicalStatus,0.0880435869342613
108,GenMetS + covariates,15,TVhour,0.055293009572869235
109,GenMetS + covariates,15,Education,0.03975066749034102
110,GenMetS + covariates,15,PhysicalActivity,0.015823565015431366
111,GenMetS + covariates,15,Sleephour,0.0
112,GenMetS + covariates,16,Age,0.47771860545542516
113,GenMetS + covariates,16,GenMetS,0.20516949910849894
114,GenMetS + covariates,16,SocialEconomicalStatus,0.16569390555609154
115,GenMetS + covariates,16,TVhour,0.12594437634917324
116,GenMetS + covariates,16,Education,0.10557093565165995
117,GenMetS + covariates,16,PhysicalActivity,0.061163017456316304
118,GenMetS + covariates,16,Sleephour,0.0
119,GenMetS + covariates,17,Age,0.3192451291649983
120,GenMetS + covariates,17,SocialEconomicalStatus,0.18527254070479565
121,GenMetS + covariates,17,GenMetS,0.14229619568945076
122,GenMetS + covariates,17,PhysicalActivity,0.0371653441567388
123,GenMetS + covariates,17,TVhour,0.028367395724687317
124,GenMetS + covariates,17,Education,0.023223260515955857
125,GenMetS + covariates,17,Sleephour,0.0
126,GenMetS + covariates,18,Age,0.34239636006586155
127,GenMetS + covariates,18,GenMetS,0.15322224483764038
128,GenMetS + covariates,18,PhysicalActivity,0.050089579882302865
129,GenMetS + covariates,18,SocialEconomicalStatus,0.03902324519116709
130,GenMetS + covariates,18,TVhour,0.006311732610618625
131,GenMetS + covariates,18,Education,0.003544709032953337
132,GenMetS + covariates,18,Sleephour,0.0
133,GenMetS + covariates,19,Age,0.2286962829867584
134,GenMetS + covariates,19,Education,0.0694015420229278
135,GenMetS + covariates,19,SocialEconomicalStatus,0.06891471545041226
136,GenMetS + covariates,19,GenMetS,0.0652300918185566
137,GenMetS + covariates,19,PhysicalActivity,0.03647485266512051
138,GenMetS + covariates,19,TVhour,0.009440136606701557
139,GenMetS + covariates,19,Sleephour,0.0065337953980735995
