disease	predictor	samples	test	case	control	OddsRatio	low	high	p-value
T2DM	PredMetS	matched	case-control	727	727	1.546	1.39	1.723	1.61e-15
T2DM	PRS_PGS000828_WC1	matched	case-control	727	727	0.903	0.816	0.999	4.8e-02
T2DM	PRS_PGS001227_WC2	matched	case-control	727	727	0.926	0.836	1.026	1.44e-01
T2DM	PRS_PGS000661_LDL1	matched	case-control	727	727	1.069	0.965	1.185	2.04e-01
T2DM	PRS_PGS000891_LDL2	matched	case-control	727	727	1.112	1.004	1.236	4.44e-02
T2DM	PRS_PGS000660_HDL1	matched	case-control	727	727	1.132	1.022	1.254	1.8e-02
T2DM	PRS_PGS000686_HDL2	matched	case-control	727	727	1.082	0.978	1.199	1.26e-01
T2DM	PRS_PGS000659_TG1	matched	case-control	727	727	0.94	0.848	1.041	2.34e-01
T2DM	PRS_PGS000699_TG2	matched	case-control	727	727	1.026	0.926	1.137	6.23e-01
T2DM	PRS_PGS000684_GLU2	matched	case-control	727	727	1.016	0.919	1.124	7.52e-01
T2DM	PRS_PGS001133_DBP	matched	case-control	727	727	1.154	1.041	1.28	6.65e-03
T2DM	PPRS_PGS000301_SBP1	matched	case-control	727	727	0.895	0.808	0.991	3.38e-02
T2DM	PRS_PGS001134_SBP2	matched	case-control	727	727	1.058	0.954	1.174	2.83e-01
T2DM	PRS_PGS000807_T2D	matched	case-control	727	727	0.97	0.875	1.075	5.63e-01
T2DM	PRS_PGS001108_BasalMetabolicRate	matched	case-control	727	727	0.985	0.888	1.093	7.77e-01
T2DM	PRS_PGS000685_HbA1c	matched	case-control	727	727	1.044	0.945	1.155	3.96e-01
T2DM	PRS_PGS000958_BP	matched	case-control	727	727	1.118	1.01	1.239	3.19e-02
STROKE	PredMetS	matched	case-control	137	137	1.261	1.005	1.593	4.78e-02
STROKE	PRS_PGS000828_WC1	matched	case-control	137	137	0.827	0.656	1.037	1.02e-01
STROKE	PRS_PGS001227_WC2	matched	case-control	137	137	0.92	0.712	1.184	5.16e-01
STROKE	PRS_PGS000661_LDL1	matched	case-control	137	137	1.1	0.878	1.383	4.09e-01
STROKE	PRS_PGS000891_LDL2	matched	case-control	137	137	1.104	0.885	1.39	3.87e-01
STROKE	PRS_PGS000660_HDL1	matched	case-control	137	137	0.995	0.789	1.254	9.65e-01
STROKE	PRS_PGS000686_HDL2	matched	case-control	137	137	1.065	0.845	1.344	5.96e-01
STROKE	PRS_PGS000659_TG1	matched	case-control	137	137	1.024	0.803	1.307	8.47e-01
STROKE	PRS_PGS000699_TG2	matched	case-control	137	137	1.053	0.816	1.361	6.89e-01
STROKE	PRS_PGS000684_GLU2	matched	case-control	137	137	0.956	0.762	1.196	6.93e-01
STROKE	PRS_PGS001133_DBP	matched	case-control	137	137	1.25	0.997	1.579	5.64e-02
STROKE	PPRS_PGS000301_SBP1	matched	case-control	137	137	0.886	0.701	1.118	3.1e-01
STROKE	PRS_PGS001134_SBP2	matched	case-control	137	137	1.214	0.947	1.565	1.28e-01
STROKE	PRS_PGS000807_T2D	matched	case-control	137	137	1.083	0.853	1.379	5.13e-01
STROKE	PRS_PGS001108_BasalMetabolicRate	matched	case-control	137	137	0.971	0.765	1.23	8.06e-01
STROKE	PRS_PGS000685_HbA1c	matched	case-control	137	137	1.047	0.823	1.332	7.09e-01
STROKE	PRS_PGS000958_BP	matched	case-control	137	137	1.187	0.935	1.514	1.62e-01
PVD	PredMetS	matched	case-control	61	61	1.338	0.984	1.846	6.76e-02
PVD	PRS_PGS000828_WC1	matched	case-control	61	61	0.76	0.527	1.08	1.31e-01
PVD	PRS_PGS001227_WC2	matched	case-control	61	61	0.885	0.619	1.253	4.93e-01
PVD	PRS_PGS000661_LDL1	matched	case-control	61	61	1.028	0.729	1.451	8.76e-01
PVD	PRS_PGS000891_LDL2	matched	case-control	61	61	0.922	0.659	1.269	6.17e-01
PVD	PRS_PGS000660_HDL1	matched	case-control	61	61	1.278	0.894	1.851	1.84e-01
PVD	PRS_PGS000686_HDL2	matched	case-control	61	61	1.101	0.771	1.582	5.98e-01
PVD	PRS_PGS000659_TG1	matched	case-control	61	61	1.229	0.857	1.786	2.67e-01
PVD	PRS_PGS000699_TG2	matched	case-control	61	61	0.977	0.686	1.391	8.97e-01
PVD	PRS_PGS000684_GLU2	matched	case-control	61	61	0.841	0.585	1.198	3.41e-01
PVD	PRS_PGS001133_DBP	matched	case-control	61	61	1.195	0.857	1.686	2.99e-01
