disease	predictor	samples	test	case	control	OddsRatio	low	high	p-value
T2DM	PredMetS	matched	case-control	677	677	1.442	1.271	1.641	1.86e-08
T2DM	PRS_PGS000828_WC1	matched	case-control	677	677	0.968	0.869	1.077	5.49e-01
T2DM	PRS_PGS001227_WC2	matched	case-control	677	677	1.048	0.942	1.167	3.9e-01
T2DM	PRS_PGS000661_LDL1	matched	case-control	677	677	0.879	0.789	0.98	1.99e-02
T2DM	PRS_PGS000891_LDL2	matched	case-control	677	677	0.967	0.866	1.08	5.54e-01
T2DM	PRS_PGS000660_HDL1	matched	case-control	677	677	1.039	0.932	1.158	4.9e-01
T2DM	PRS_PGS000686_HDL2	matched	case-control	677	677	1.007	0.902	1.123	9.04e-01
T2DM	PRS_PGS000659_TG1	matched	case-control	677	677	0.964	0.866	1.073	5.01e-01
T2DM	PRS_PGS000699_TG2	matched	case-control	677	677	0.958	0.861	1.065	4.25e-01
T2DM	PRS_PGS000306_GLU1	matched	case-control	677	677	1.162	1.046	1.291	5.37e-03
T2DM	PRS_PGS000684_GLU2	matched	case-control	677	677	1.201	1.08	1.337	7.74e-04
T2DM	PRS_PGS001133_DBP	matched	case-control	677	677	0.875	0.785	0.975	1.62e-02
T2DM	PPRS_PGS000301_SBP1	matched	case-control	677	677	1.128	1.01	1.261	3.29e-02
T2DM	PRS_PGS001134_SBP2	matched	case-control	677	677	0.964	0.865	1.074	5.03e-01
T2DM	PRS_PGS000807_T2D	matched	case-control	677	677	1.154	1.038	1.284	8.29e-03
T2DM	PRS_PGS001108_BasalMetabolicRate	matched	case-control	677	677	1.009	0.906	1.123	8.68e-01
T2DM	PRS_PGS000685_HbA1c	matched	case-control	677	677	1.196	1.075	1.332	1.04e-03
T2DM	PRS_PGS000958_BP	matched	case-control	677	677	0.935	0.84	1.04	2.16e-01
Hypertension	PredMetS	matched	case-control	1266	1266	1.298	1.195	1.412	8.28e-10
Hypertension	PRS_PGS000828_WC1	matched	case-control	1266	1266	1.002	0.927	1.083	9.59e-01
Hypertension	PRS_PGS001227_WC2	matched	case-control	1266	1266	1.01	0.934	1.092	8.09e-01
Hypertension	PRS_PGS000661_LDL1	matched	case-control	1266	1266	0.983	0.909	1.064	6.76e-01
Hypertension	PRS_PGS000891_LDL2	matched	case-control	1266	1266	1	0.925	1.082	9.93e-01
Hypertension	PRS_PGS000660_HDL1	matched	case-control	1266	1266	0.997	0.923	1.077	9.32e-01
Hypertension	PRS_PGS000686_HDL2	matched	case-control	1266	1266	1.01	0.935	1.093	7.94e-01
Hypertension	PRS_PGS000659_TG1	matched	case-control	1266	1266	1.075	0.994	1.162	7.24e-02
Hypertension	PRS_PGS000699_TG2	matched	case-control	1266	1266	0.976	0.903	1.056	5.52e-01
