predictor	R2	low	high	sex	cohort
GenMetS	0.0975	0.0358	0.1593	female	S-PRESTO,GUSTO
PRS_PGS000828_WC1	0.0195	-0.01367	0.0527	female	S-PRESTO,GUSTO
PRS_PGS001227_WC2	0.0237	-0.01174	0.0591	female	S-PRESTO,GUSTO
PRS_PGS000661_LDL1	0.0012	-0.01668	0.0192	female	S-PRESTO,GUSTO
PRS_PGS000891_LDL2	4e-04	-0.01407	0.0148	female	S-PRESTO,GUSTO
PRS_PGS000660_HDL1	0.0339	-0.01237	0.0801	female	S-PRESTO,GUSTO
PRS_PGS000686_HDL2	0.0227	-0.01399	0.0594	female	S-PRESTO,GUSTO
PRS_PGS000659_TG1	0.0049	-0.01259	0.0223	female	S-PRESTO,GUSTO
PRS_PGS000699_TG2	2e-04	-0.01294	0.0134	female	S-PRESTO,GUSTO
PRS_PGS000306_GLU1	3.534e-05	-0.009263	0.0093	female	S-PRESTO,GUSTO
PRS_PGS000684_GLU2	2e-04	-0.0118	0.0122	female	S-PRESTO,GUSTO
PRS_PGS001133_DBP	0.0169	-0.01244	0.0462	female	S-PRESTO,GUSTO
PRS_PGS000301_SBP1	0.0035	-0.01301	0.02	female	S-PRESTO,GUSTO
PRS_PGS001134_SBP2	0.0087	-0.01862	0.0361	female	S-PRESTO,GUSTO
PRS_PGS000807_T2D	1e-04	-0.01289	0.0131	female	S-PRESTO,GUSTO
PRS_PGS001108_BasalMetabolicRate	0.0132	-0.0187	0.0452	female	S-PRESTO,GUSTO
PRS_PGS000685_HbA1c	6e-04	-0.01025	0.0115	female	S-PRESTO,GUSTO
PRS_PGS000958_BP	0.0076	-0.01427	0.0296	female	S-PRESTO,GUSTO
GenMetS	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000828_WC1	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS001227_WC2	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000661_LDL1	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000891_LDL2	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000660_HDL1	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000686_HDL2	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000659_TG1	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000699_TG2	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000306_GLU1	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000684_GLU2	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS001133_DBP	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000301_SBP1	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS001134_SBP2	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000807_T2D	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS001108_BasalMetabolicRate	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000685_HbA1c	0	0	0	male	S-PRESTO,GUSTO
PRS_PGS000958_BP	0	0	0	male	S-PRESTO,GUSTO
GenMetS	0.1225	0.0509	0.1941	female	ATTRaCT
GenMetS	0.0317	-0.001465	0.0649	male	ATTRaCT
PRS_PGS000828_WC1	0.0043	-0.009168	0.0178	female	ATTRaCT
