Ethnicity	Sex	MetS	n	freq
1001:British	Female	1	47892	0.256185040359896
1001:British	Male	1	50036	0.309651706809912
1002:Irish	Female	1	1228	0.234844138458596
1002:Irish	Male	1	1434	0.290695317251166
1003:Any other white background	Female	1	1630	0.207352754102531
1003:Any other white background	Male	1	1426	0.28282427608092
1:White	Female	1	61	0.354651162790698
1:White	Male	1	98	0.393574297188755
2001:White and Black Caribbean	Female	1	75	0.233644859813084
2001:White and Black Caribbean	Male	1	39	0.213114754098361
2002:White and Black African	Female	1	46	0.204444444444444
2002:White and Black African	Male	1	27	0.238938053097345
2003:White	Female	1	77	0.201044386422977
2003:White	Male	1	83	0.288194444444444
3001:Indian	Female	1	1040	0.457545094588649
3001:Indian	Male	1	1268	0.51628664495114
3002:Pakistani	Female	1	291	0.538888888888889
3002:Pakistani	Male	1	505	0.585168018539977
3004:Any other Asian background	Female	1	276	0.420091324200913
3004:Any other Asian background	Male	1	414	0.509852216748768
4001:Caribbean	Female	1	589	0.25743006993007
4001:Caribbean	Male	1	255	0.189591078066914
4002:African	Female	1	347	0.27130570758405
4002:African	Male	1	292	0.210374639769452
5:Chinese	Female	1	179	0.236772486772487
5:Chinese	Male	1	153	0.329032258064516
